No. dossier,Nom organisme / programme,Situé à,Description,Téléphone,Courriel,Site web
QBC1661,"CIUSSS Capitale-Nationale, CLSC de Pont-Rouge",Pont-Rouge,"Services de santé et services sociaux courants, préventifs ou curatifs, de réadaptation ou de réinsertion. Pour résidents du territoire.",Accueil 418-873-6062 / Centrale RDV Portneuf 418-666-7525,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=170443
QBC3224,"CIUSSS Capitale-Nationale, CLSC de Rivière-à-Pierre",Rivière-à-Pierre,Offre uniquement des services de prélèvements AVEC rendez-vous.,Centrale RDV Portneuf 418-666-7525,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=170481
QBC1610,"CIUSSS Capitale-Nationale, CLSC de Saint-Siméon",Saint-Siméon (région 03),"Services de santé et services sociaux courants, guichet d'accès pour clientèle sans médecin de famille, authentification carte d'assurance maladie.",418-638-2369,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=750
QBC1613,"CIUSSS Capitale-Nationale, CLSC de Sainte-Foy - Sillery",Plateau (Quartier),"Services de santé et services sociaux courants, soins généraux, inscription à la liste d'attente pour médecin de famille. Pour résidents du territoire.",Accueil 418-651-2572 / Centrale RDV 418-628-6808,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=826
QBC1611,"CIUSSS Capitale-Nationale, CLSC des Rivières",Vanier (Quartier),"Services de santé et services sociaux courants, soins généraux, changement et suivi de pansement et soin des plaies.",418-688-9212,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=44379
QBC1658,"CIUSSS Capitale-Nationale, CLSC Donnacona",Donnacona,"Services de santé et services sociaux courants, guichet d'accès pour clientèle sans médecin de famille, aide alimentaire - programme OLO.",418-285-2626,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=349494
QBC1513,"CIUSSS Capitale-Nationale, CLSC La Source - Nord",Notre-Dame-des-Laurentides (Quartier),"Services de santé et services sociaux courants, aide alimentaire - programme OLO, programme SAD - soutien à domicile.",Accueil 418-628-2572 / Centrale RDV 418-628-6808 / SAD 418-651-3888,,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=235527
QBC1511,"CIUSSS Capitale-Nationale, CLSC La Source - Sud",Des Jésuites (Quartier),"Services de santé et services sociaux courants, soins généraux.",Accueil 418-628-2572 / Centrale RDV 418-628-6808,,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1803
QBC1505,"CIUSSS Capitale-Nationale, CLSC Orléans - Beauport",Vieux-Moulin (Quartier),"Services de santé et services sociaux courants, programme SAD - soutien à domicile.",Accueil 418-663-2572 / Centrale RDV 418-628-6808 / SAD 418-651-3888 / GMF Orléans 418-663-3099,,http://www.sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1777
QBC1506,"CIUSSS Capitale-Nationale, CLSC Orléans - L'Île-d'Orléans",Saint-Pierre-de-l'Île-d'Orléans,Services de santé et services sociaux courants.,,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1804
QBC1785,"CIUSSS Capitale-Nationale, CLSC Orléans - Maizerets",Maizerets (Quartier),"Services de santé et services sociaux courants, cours prénataux.",,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=563627
QBC1657,"CIUSSS Capitale-Nationale, CLSC Saint-Marc-des-Carrières",Saint-Marc-des-Carrières,"Services de santé et services sociaux courants, soins généraux, programme SAD - soutien à domicile. Pour résidents du territoire.",Accueil 418-268-3571 / Centrale RDV Portneuf 418-666-7525 / SAD 1-888-949-1343,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=823
QBC1660,"CIUSSS Capitale-Nationale, CLSC Saint-Ubalde",Saint-Ubalde,Services de santé courants. Inscription à la liste d'attente pour médecin de famille.,418-277-2256 / Centrale RDV Portneuf 418-666-7525,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=240568
QBC1502,"CIUSSS Capitale-Nationale, Hôpital régional de Portneuf et CLSC Saint-Raymond",Saint-Raymond,"Services de santé et services sociaux courants, soins généraux. Pour résidents du territoire.",Hôpital et CLSC 418-337-4611 / Centrale RDV 418-666-7525,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=273998
QBC1662,"CIUSSS Capitale-Nationale, Hôpital Sainte-Anne-de-Beaupré, CLSC Orléans - Beaupré",Beaupré,"Services de santé et services sociaux courants, urgence, laboratoire, clinique externe.",CLSC 418-827-5241 / Hôpital 418-827-3726 / Clinique externe 418-827-8215 / Centrale RDV 418-628-6808,,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=376578
QBC4919,"CIUSSS Capitale-Nationale, Point de service - Beaupré",Beaupré,"Soins de santé avec rendez-vous : dépistage, lavage d'oreilles.",Centrale RDV 418-644-4545 / Lavage d'oreilles 418-628-6808,,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1155241
QBC4916,"CIUSSS Capitale-Nationale, Point de service - Québec (boulevard Hamel)",Duberger-Les Saules (Quartier),"Soins de santé avec rendez-vous : dépistage, lavage d'oreilles, prélèvements, vaccination, traitements antiviraux et ATIVAD.",Centrale RDV 418-644-4545 / Prélèvements 418-628-6808,rrss.ciussscn@ssss.gouv.qc.ca,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1179408
QBC4917,"CIUSSS Capitale-Nationale, Point de service - Québec (rue du Carrefour)",Vieux-Moulin (Quartier),"Soins de santé avec rendez-vous : dépistage, lavage d'oreilles, prélèvements, vaccination.",Centrale RDV 418-644-4545 / Prélèvements 418-628-6808,rrss.ciussscn@ssss.gouv.qc.ca,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1155238
QBC4918,"CIUSSS Capitale-Nationale, Point de service - Québec (Saint-Sauveur)",Saint-Sauveur (Quartier),"Soins de santé avec rendez-vous : dépistage, lavage d'oreilles, prélèvements, vaccination.",Centrale RDV 418-644-4545 / Prélèvements 418-628-6808,rrss.ciussscn@ssss.gouv.qc.ca,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1191262
QBC4920,"CIUSSS Capitale-Nationale, Point de service - Saint-Hilarion",Saint-Hilarion,"Soins de santé avec rendez-vous : dépistage, lavage d'oreilles, retrait d'agrafes et points de suture, vaccination.",Centrale RDV 418-644-4545,rrss.ciussscn@ssss.gouv.qc.ca,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1155243
QBC4915,"CIUSSS Capitale-Nationale, Point de service - Saint-Raymond",Saint-Raymond,"Soins de santé avec rendez-vous : dépistage, lavage d'oreilles, prélèvements, vaccination.",Centrale RDV 418-644-4545 / Prélèvements 418-666-7525,rrss.ciussscn@ssss.gouv.qc.ca,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1155269
QBC0327,Coopérative de solidarité de services à domicile de Québec,Orsainville (Quartier),"Soutien à domicile des personnes aînées ou en perte d'autonomie : aide domestique, entretien ménager, développement des compétences des employés, répit pour proches aidants.",418-624-4617,info@cssdq.coop,http://aidedomicilequebec.com
QBC0384,FADOQ - Régions de Québec et Chaudière-Appalaches,Cité-Universitaire (Quartier),"Soutien à l'organisation et au fonctionnement des clubs affiliés, promotion des intérêts communs, éveil de la société aux besoins des aînés. 50+",418-650-3552,info@fadoq-quebec.qc.ca,http://www.fadoq.ca/quebec-et-chaudiere-appalaches/
QBC4873,Fondation santé Portneuf,Saint-Raymond,"Soutien au développement des soins de santé de proximité dans la région de Portneuf, financement de projets d'amélioration des installations de santé locales, acquisition d'équipements médicaux.",418-337-3658,fondation@santeportneuf.ca,http://www.santeportneuf.ca
QBC0422,Fraternité Sainte-Marie de Vanier,Vanier (Quartier),"Aide et accompagnement des personnes et familles éprouvant des difficultés au quotidien, soutien au maintien à domicile, visites et appels d'amitié. Pour personnes en perte d'autonomie, aînés, convalescents, familles à faible revenu.",418-683-2400,fraternitedevanier@videotron.ca,http://fraternitedevanier.org
QBC3270,Halo - Aide à domicile (Le),Donnacona,"Services de maintien à domicile : entretien ménager, petits travaux, préparation de repas, entretien des vêtements, commissions. Pour aînés, personnes en perte d'autonomie, personnes seules ou avec handicap.",418-285-2935,info@lehalo.ca,http://lehalo.ca/aide-domicile
QBC0625,Petit Répit,Lairet (Quartier),"Répit-dépannage et soutien aux familles par la garde des enfants dans leur milieu naturel, garde-répit à domicile, aide naturelle, référence, accompagnement. Pour familles, enfants 0-17 ans.",418-525-0858,infos@lepetitrepit.ca,http://www.lepetitrepit.ca
QBC0884,"Québec, Ministère de la Santé et des Services sociaux, Info-santé",Québec (Province),"Service de consultation téléphonique pour rejoindre un professionnel de la santé en cas de problème non urgent, évaluation des besoins, réponse par une infirmière à certaines questions courantes.",811,,http://www.quebec.ca/sante/trouver-une-ressource/info-sante-811
QBC0668,Regroupement des personnes handicapées visuelles (régions 03-12),Saint-Roch (Quartier),"Services, promotion des intérêts, défense des droits et intégration des personnes ayant un handicap visuel dans tous les domaines de l'activité humaine.",418-649-0333,rphv@rphv0312.org,http://www.rphv0312.org
QBC1456,Services à domicile du Cap Diamant - Coopérative de consommateurs,Saint-Sacrement (Quartier),"Services d'aide à domicile aux aînés et personnes en perte d'autonomie : entretien ménager, préparation des repas, entretien des vêtements, lavage et repassage. Pour aînés 65+ et adultes en perte d'autonomie.",418-683-3552,coopcap@aideadomicilequebec.com,http://www.aideadomicilequebec.com
QBC0256,Temps d'aide chez soi - Maintien à domicile,Loretteville (Quartier),"Services de soutien à domicile : entretien ménager, lessive, grand ménage, préparation de repas. Pour aînés, adultes ayant maladie chronique, handicap physique ou sensoriel, convalescents, familles à faible revenu.",418-842-9791,info@tempsdaidechezsoi.com,http://tempsdaidechezsoi.com
QBC2829,"Wendake, Centre de santé Marie-Paule-Sioui-Vincent",Wendake,"Centre de santé et de services sociaux offrant aux membres de la communauté huronne-wendat des services préventifs et curatifs en santé communautaire, santé mentale et services de soutien. Pour membres statués de la Nation huronne-wendat.",418-842-6255,,http://www.wendake.ca/organisme/centre-de-sante-marie-paule-sioui-vincent
