No. dossier,Nom organisme / programme,Situé à,Description,Tél. de bureau,Site internet / Courriel
CQE1636,"Centre d'action bénévole de Farnham, Chiffonnier (Le)",Farnham,"Récupération et vente d'articles usagés, tri, nettoyage, reconditionnement ou recyclage d'articles usagés, vêtements pour toute la famille, coins Chic et Taille plus, tricots faits à la main",450-293-3265,
CQE1568,Centre d'action bénévole de Sutton,Sutton,"Promotion de l'action bénévole, popote roulante et repas chauds, banque alimentaire, paniers de Noël, ressource Famille : écoute, information, référence, ateliers d'éveil musical, littéraire et artistique",450-538-1919 / Intervenante bilingue 450-522-2422 / Ressource 50+ 450-521-5105,
CQE1603,Centre d'action bénévole Marguerite-Dubois,Bromont,"Soutien aux personnes et familles à faible revenu, personnes en perte d'autonomie ou touchées par la maladie, aînés, accompagnement et éducation des gens de la communauté locale vivant une problématique",450-534-2825,
CQE0119,Centre de bénévolat Mieux-être,Lac-Brome,"Promotion et soutien de l'action bénévole, amélioration de la qualité de vie des aînés de la région, système d'alarme personnel, accompagnement-transport (transport à l'hôpital de Montréal ou de Sherbrooke)",450-242-2020,
CQE0060,Centre de la petite enfance La Passerelle des mousses,Lac-Brome,"Services de garde pour enfants (0-5 ans). Points de service : 238, rue Victoria, Lac-Brome (70 places), 60, rue Principale Sud, Sutton (44 places)",450-242-2131,
CQE0063,Centre de la petite enfance Le Château des frimousses,Bedford,"Services de garde bilingue pour enfants (0-5 ans), programme éducatif Highscope, services de garde (83 places)",450-248-4555,
CQE0064,Centre de la petite enfance Le Colibri de Farnham,Farnham,"Services de garde pour enfants (0-5 ans), services de garde (57 places)",450-293-3758,
CQE0044,Centre de la petite enfance Le papillon bleu,Cowansville,"Services de garde pour enfants, intégration des enfants ayant des besoins particuliers, services de garde, technicienne en éducation spécialisée dans chacun des établissements, conseillère pédagogique",450-263-3394,
CQE0048,Centre de la petite enfance Le Zèbre carotté,Cowansville,"Services de garde pour enfants (0-5 ans), services de garde (75 places)",450-266-4759,
CQE0065,Centre de la petite enfance Les Pommettes rouges,Bedford,"Bureau coordonnateur des services de garde éducatif en milieu familial, soutien aux responsables de service de garde éducatif (RSGE) dans l'amélioration de la qualité des services",450-248-3334,
CQE0075,"Centre de la petite enfance Les Pommettes rouges, Prématernelle",Bedford,"Bureau coordonnateur de la garde en milieu familial Brome-Missisquoi, préparation des enfants à l'entrée scolaire, intégration des enfants ayant des besoins particuliers, service de garde en prémat",450-248-3334 poste 222,
CQE0046,Centre de la petite enfance Les Tisserands,Cowansville,"Services de garde pour enfants (0-5 ans), services de garde (78 places)",450-266-4066,
CQE0924,"Centre de main d'œuvre Opex, Point de service Cowansville",Cowansville,"Services de recherche d'emploi spécialisé et gratuit pour personnes adultes judiciarisées, recherche d'emploi : curriculum vitæ, lettre de présentation, entrevue, visites promotionnelles",450-266-1866,
CQE1591,Centre de pédiatrie sociale Main dans la main,Cowansville,"Soutien aux enfants et aux familles à risque ou en situation de vulnérabilité pour assurer le mieux-être et le développement optimal des enfants, dans le respect de leurs droits et de leurs intérêts",450-260-1414,
CQE1802,"Centre de services scolaire du Val-des-Cerfs, Campus Brome-Missisquoi",Cowansville,Établissement d'enseignement permettant à une clientèle adulte de poursuivre ou de compléter une formation scolaire de niveau secondaire en conformité avec les programmes du ministère de l'Éducation,450-263-7901,
CQE1011,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Bromont,Bromont,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé, authentification de la carte d'assurance maladie",450-375-1692 / Guichet d'accès médecin de famille 450-375-1442 poste 66288,
CQE1466,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Cowansville-du-Sud,Cowansville,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé",450-266-4304 / Centrale de rendez-vous 450-266-4304 poste 2,
CQE1667,"Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Cowansville-du-Sud, Centre de réadaptation en dépendance de Cowansville",Cowansville,"Services spécialisés de réadaptation et de réinsertion sociale pour jeunes et adultes aux prises avec une problématique de dépendance à l'alcool, aux drogues, aux jeux de hasard et d'argent",450-266-4304,
CQE1467,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Cowansville-Larouche,Cowansville,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé, aide au ménage, béquilles",Soutien à domicile 450-266-4342 poste 2 / Guichet d'accès médecin de famille 450-266-4342 poste 35695,
CQE1478,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC et centre d'hébergement de Bedford,Bedford,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé",450-248-4304 / 450-248-4321 / Guichet d'accès médecin de famille 450-266-4342 poste 35695,
CQE1469,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Farnham,Farnham,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé",450-293-3622 / Centrale de rendez-vous 450-877-0642,
CQE1471,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Lac-Brome,Lac-Brome,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé",Avant-midi 450-242-2001 / après-midi 450-242-2020 / Guichet d'accès médecin de famille 450-242-3342 poste 35695,
CQE1473,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Sutton,Sutton,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé, prélèvements, consultation",450-538-3994 / Guichet d'accès médecin de famille 450-266-4342 poste 35695,
CQE0129,Centre local de développement de Brome-Missisquoi,Cowansville,"Accompagnement et soutien technique ou financier auprès des entrepreneurs potentiels ou déjà en activité, individuels ou collectifs (incluant les entreprises d'économie sociale)",450-266-4928,
CQE0162,"Cercles de Fermières du Québec, Cercle de Fermières Cowansville, Fédération 18 - Montérégie",Cowansville,"Cercle de Fermières dont les membres sont vouées à l'amélioration des conditions de vie de la femme et la famille ainsi qu'à la transmission du patrimoine culturel et artisanal, partage des connaissances",,
CQE0124,"Chevaliers de Colomb de Cowansville, Conseil 2821",Cowansville,"Mouvement catholique laïque et masculin assurant la promotion d'oeuvres éducatives, charitables, religieuses et sociales, paniers de Noël, guignolée, bingo, location de salle",450-263-5080,
CQE1763,"Chevaliers de Colomb du Québec, MRC Brome-Missisquoi",Brome-Missisquoi (MRC),Aide aux plus démunis. Répertoire des conseils des Chevaliers de Colomb http://www.chevaliersdecolomb.com/recherche_regions.html Conseils des Chevaliers de Colomb dans la municipalité de Cowansville,,
SLC0670,Club de l'âge d'or de Sept-Îles,,"Club social pour aînés favorisant et organisant des activités culturelles, sportives et récréatives : danse, baseball-poches, dards, pétanque-atout, bridge, palet américain, quilles, cartes, pétanque",418-968-3445,
CQE1573,Club des personnes handicapées Brome-Missisquoi,Sainte-Sabine (région 05),"Organisation d'activités de loisirs, aide à l'intégration sociale des personnes handicapées adultes et amélioration de leur qualité de vie, service d'information, sensibilisation de la population",450-293-2326,
CQE0143,Club Optimiste de Brome-Missisquoi,Cowansville,"Projets de service communautaire visant à inspirer le meilleur chez les jeunes, organisation d'activités de financement et redistribution aux écoles et organismes jeunesse, activités familiales",450-243-0720,
CQE0155,Club Optimiste de Lac-Brome,Lac-Brome,"Projets de service communautaire visant à inspirer le meilleur chez les jeunes, organisation d'activités de financement et redistribution aux écoles et organismes jeunesse, activités familiales",,
CQE0171,Club troisième âge de Farnham,Farnham,"Club social pour aînés visant à briser l'isolement, activités récréatives et sportives",450-293-5256,
CQE0133,"Clubs Lions du Québec, Cowansville - 014883, Région 54 Sud",Cowansville,Répertoire des clubs Lions Acton Vale - 14877,450-546-3659,
CQE0098,"Clubs Lions du Québec, Cowansville - 014883, Région 54 Sud",Cowansville,"Club de bienfaisance engagé à l'amélioration de sa communauté et du monde, prévention de la cécité et appui aux handicapés visuels, prévention du diabète, soutien à la jeunesse",,
CQE0097,"Clubs Lions du Québec, Knowlton - 014889, Région 54 Sud",Lac-Brome,"Club de bienfaisance engagé à l'amélioration de sa communauté et du monde, prévention de la cécité et appui aux handicapés visuels, prévention du diabète, soutien à la jeunesse, paniers de Noël",450-531-9186,
CQE1631,Collective par et pour elle (La),Cowansville,"Soutien aux femmes et à leurs enfants, écoute, soutien et références, éducation populaire, développement communautaire et actions collectives, friperie : vêtements pour femmes et enfants, aide financière",450-263-1028,
CQE1572,Comité de popote roulante de Farnham,Farnham,Livraison de repas chauds et de plats congelés à domicile,450-293-8333,
CQE1698,Comité des usagers du CSSS La Pommeraie,Cowansville,"Promotion et défense des droits et intérêts des usagers afin de contribuer au maintien et à l'amélioration de la qualité des services et des conditions de vie de la clientèle, renseignements",450-266-4342 poste 35590 option 5 poste 35590,
CQE1569,Comité popote roulante de Cowansville,Cowansville,"Livraison à domicile de repas complets chauds, équilibrés et congelés",450-263-9338,
CQE1244,"Commission scolaire Eastern Townships, Centre de formation professionnelle Campus Brome-Missisquoi",Cowansville,Établissement d'enseignement offrant des programmes de formation dans des métiers menant à l'obtention d'un diplôme d'études professionnelles (DEP) ou d'une attestation d'études professionnelles (AEP),450-263-7901,
CQE1233,"Commission scolaire Eastern Townships, Centre de formation professionnelle Campus Brome-Missisquoi, Brome-Missisquoi Campus",Cowansville,Établissement d'enseignement permettant à une clientèle adulte de poursuivre ou de compléter une formation scolaire de niveau secondaire en conformité avec les programmes du ministère de l'Éducation,450-263-7901,
CQE1652,Comptoir familial de Sutton,Sutton,"Services pastoraux et célébrations eucharistiques régulières. Comptoir familial : vêtements, articles de maison, jouets, meubles, électroménagers, articles de sports, appareils électroniques usagés",450-538-3215,
CQE1651,Conseil d'alphabétisation de Yamaska,Cowansville,"Amélioration des capacités de lecture, d'écriture et de calcul des adultes âgés de plus de 16 ans, services d'alphabétisation en anglais, tutorat individuel en lecture, écriture et mathématique",450-263-7503,
CQE0295,Coopération de développement communautaire de Brome-Missisquoi,,"Regroupement d'organismes communautaires favorisant leur participation au développement socioéconomique du territoire, promotion et défense des intérêts de la population et des organismes communautaires",450-293-3344,
CQE1630,Coopérative de soutien à domicile du Pays des Vergers,Cowansville,"Soutien à domicile : entretien ménager léger et travaux lourds, soins à la personne : assistance au lever, soins d'hygiène et habillement et autres, préparation des repas, services aux entreprise",450-266-5484,
CQE1654,Corporation de développement communautaire de Brome-Missisquoi,Farnham,Regroupement d'organismes communautaires et d'entreprises d'économie sociale dans la MRC de Brome-Missisquoi favorisant leur concertation et participation au développement socioéconomique du milieu,450-293-3344,
CQE1575,"Cowansville, Hôtel de ville",Cowansville,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-263-0141 / sécurité incendie 450-263-3551,
CQE1597,"Cowansville, Hôtel de ville, Frigo vert (Le)",Cowansville,"Frigos communautaires visant la réduction du gaspillage alimentaire et rendant accessible fruits et légumes. 203, rue Principale, 209, rue Sainte-Thérèse",,
CQE1632,"Cowansville, Hôtel de ville, Loisirs",Cowansville,"Organisation des activités de loisirs, centre aquatique : cours de natation et bain libre, pavillon des sports, patinoires et glissoires extérieures, ski de fond, location de salles, camp de jour",450-263-6464,
CQE0092,"Croix-Rouge canadienne, Bureau administratif - Montréal, Section Brome-Missisquoi",Cowansville,"Services humanitaires et secours d'urgence lors de catastrophes naturelles ou de conflits armés, services d'urgence aux sinistrés, services humanitaires internationaux, programmes de sécurité aquatique",450-522-2082,
CQE1605,Diabète Brome-Missisquoi,Bedford,"Information, sensibilisation et prévention sur les divers aspects du diabète, accueil, soutien et référence, formation et prévention, consultation individuelle, ateliers de cuisine et de nutrition",450-248-2224,
CQE1760,"Diocèse de Saint-Hyacinthe, Région Sud",Brome-Missisquoi (MRC),"Services pastoraux et célébrations eucharistiques régulières Région Sud, paroisses : Secteur 1 (MRC Haut-Richelieu) Secteur 2 Unité pastorale des régions 450-248-3347 / Saint-Damien (Bedford) 450-2...",450-773-8581,
CQE1587,"Dunham, Hôtel de ville",Dunham,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-295-2418 / Service des incendies 450-295-3404 / Sûreté du Québec 450-266-1122,
CQE1586,"East Farnham, Hôtel de ville",East Farnham,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, assainissement des eaux usées et autres MRC de Brome-Missisquoi",450-263-4252 / Sûreté du Québec 450-266-1122,
CQE1623,Entrée chez soi Brome-Missisquoi,Farnham,"Ressource alternative en santé mentale dans Brome-Missisquoi, soutien, référence et accompagnement vers l'autonomie des personnes vivant une problématique de santé mentale à travers une approche globale","450-293-1631 / Info logement, Caroline Dolce 450-272-6882 / Hébergement de transition, Cara St-Onge 450-931-0555",
CQE0536,"FADOQ, Club de l'âge d'or de Bedford",Bedford,"Établissement et exploitation du centre communautaire Georges-Perron, club social pour aînés affilié à la Fédération des clubs de l'âge d'or du Québec (FADOQ), organisation de cours, conférences",450-248-2909,
CQE0166,"FADOQ, Club de l'âge d'or de Cowansville",Cowansville,"Club social pour aînés affilié à la Fédération des clubs de l'âge d'or du Québec (FADOQ), réunions d'information, représentation, défense des droits et référence aux organismes partenaires, rabais",450-263-7470,
CQE0168,"FADOQ, Club de l'âge d'or de Farnham",Farnham,"Club social pour aînés affilié à la Fédération des clubs de l'âge d'or du Québec (FADOQ), réunions d'information, représentation, défense des droits et référence aux organismes partenaires, rabais",450-293-6073,
CQE1617,"FADOQ, Club de la Bonne humeur de Lac-Brome",Lac-Brome,"Club social pour aînés affilié à la Fédération des clubs de l'âge d'or du Québec (FADOQ), réunions d'information, représentation, défense des droits et référence aux organismes partenaires, rabais",450-243-5620,
CQE0193,"FADOQ, Club âge d'or Les Deux monts",Abercorn,"Club social pour aînés affilié à la Fédération des clubs de l'âge d'or du Québec (FADOQ), réunions d'information, représentation, défense des droits et référence aux organismes partenaires, rabais",450-538-3741 / 450-538-2304,
CQE1585,"Farnham, Hôtel de ville",Farnham,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-293-3178 / Service de sécurité incendie 450-293-5126,
CQE0165,"Filles d'Isabelle, Cercle Cowansville",Cowansville,"Organisation charitable composée de femmes catholiques assurant dans sa paroisse la promotion d'oeuvres éducatives, charitables, religieuses et sociales. Comptoir familial : vêtements, chaussures, vaiss",450-293-0962,
CQE1600,Fondation au Diapason soins palliatifs (La),Bromont,"Maison de soins palliatifs spécialisés, accompagnement psychologique et spirituel aux patients et aux familles des territoires de Brome-Missisquoi et de la Haute-Yamaska, service complet d'hébergement",450-534-2002,
CQE1611,Fondation Butters,Cowansville,"Soutien et services aux parents d'enfants ayant une déficience intellectuelle, investissement dans des projets de recherche, soutien financier pour des services destinés aux parents et aux membres d",450-263-4123,
CQE1614,Fondation Claude De Serres,Bedford,"Soutien au maintien et au rétablissement à domicile, prêt d'équipements médicaux gratuit et sans limites de temps, équipements de déplacement : béquille, botte de marche, canne, déambulateur, fauteuil",450-203-9350 / 450-248-4304 poste 64026,
CQE1615,Fondation les Foyers Farnham,Farnham,"Amélioration de la qualité de vie et du mieux-être des résidents du Centre d'hébergement de Farnham et du Centre d'hébergement Gérard-Harbec, activités et campagnes de financement, administration",450-293-2771,
CQE1584,"Frelighsburg, Hôtel de ville",Frelighsburg,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-298-5133 / Sûreté du Québec 450-266-1122,
CQE0992,Horizon pour Elle,Cowansville,"Maison d'aide et d'hébergement pour femmes victimes de violence conjugale avec ou sans enfant, écoute téléphonique, hébergement, suivi individuel ou de groupe, suivi mère-enfants (conséquences vio)",450-263-5046,
QBC4846,Hébergementfemmes.ca,Canada,Ressource en ligne pour les femmes et leurs enfants cherchant à se mettre à l'abri de la violence et des abus. Carte interactive - Joindre une maison d'hébergement https://hebergementfemmes.ca/obtenir-,,
