No. dossier,Nom organisme / programme,Situé à,Description,Téléphone,Courriel,Site web
QBC0096,Auto-Psy - Région de Québec,Vieux-Limoilou (Quartier),"Groupe d'action communautaire autonome de promotion et de défense individuelle et collective des droits en santé mentale, accueil-référence, information, aide et accompagnement dans les recours. Pour personnes utilisatrices de services de santé mentale",418-529-1978 / 418-529-1556,auto-psy@videotron.ca,http://www.auto-psy.com
QBC0107,Boussole (La),Vieux-Limoilou (Quartier),"Soutien aux membres de l'entourage des personnes touchées par les troubles de santé mentale, informations, démystification, camp de jour d'été pour enfants (8-12 ans) ayant un proche atteint. 6+",418-523-1502,reception@laboussole.ca,http://www.laboussole.ca
QBC4855,"Canada, Services aux Autochtones - Soutien en santé : pensionnats indiens",Canada,"Soutien culturel et émotionnel, consultation en santé mentale aux survivants des pensionnats et familles des anciens élèves, counseling en santé mentale, aide au transport. Pour survivants et familles",,,https://www.sac-isc.gc.ca/fra/1581971225188/1581971250953
QBC0242,Centre d'entraide Émotions,Cité-Universitaire (Quartier),"Groupe d'entraide aux personnes ayant un trouble de santé mentale (particulièrement de personnalité limite), activités collectives, éducatives et de soutien. Pour adultes ayant des troubles de personnalité limite. 18+",418-682-6070,emotions@qc.aira.com,http://www.entraide-emotions.org
QBC0851,Centre de crise de Québec,Saint-Sacrement (Quartier),"Réponse aux personnes en situation de crises psychosociales, psychopathologiques ou traumatiques, alternative à l'hospitalisation, soutien téléphonique et en personne. Pour personnes en situation de crise ou reliée à un problème de santé mentale. 14+",Intervention de crise 418-688-4240,administration@centredecrise.com,http://www.centredecrise.com
QBC0474,Centre de jour L'Envol,Saint-Charles-Borromée (Quartier),"Milieu de vie, d'aide et d'entraide, lieu de socialisation pour adultes vivant des difficultés de santé mentale, centre de jour favorisant autonomie et intégration sociale. Pour aînés ayant des problèmes de santé mentale. 18-90 ans",418-622-8780,,http://www.cdjlenvol.com
QBC0265,Cercle polaire,Maizerets (Quartier),"Aide aux membres de l'entourage d'une personne atteinte d'un trouble de santé mentale, intervention téléphonique, groupes de soutien et éducatifs, groupe d'activités. Pour proches d'une personne vivant une problématique de santé mentale. 12+",418-623-4636,info@cerclepolaire.com,http://www.cerclepolaire.com
QBC4946,"CIUSSS Capitale-Nationale, Aire Ouverte - Site de Loretteville",Loretteville (Quartier),"Services confidentiels en personne ou virtuel pour la santé et le bien-être des adolescents et jeunes adultes, avec ou sans rendez-vous, suivi psychosocial, consultation individuelle ou familiale. 12-25 ans",418-666-2613,aire-ouverte.ciussscn@ssss.gouv.qc.ca,http://www.ciusss-capitalenationale.gouv.qc.ca/aireouverte
QBC4947,"CIUSSS Capitale-Nationale, Aire Ouverte - Site de Portneuf",Donnacona,"Services confidentiels en personne ou virtuel pour la santé et le bien-être des adolescents et jeunes adultes, avec ou sans rendez-vous, suivi psychosocial. 12-25 ans",418-666-2613,aire-ouverte.ciussscn@ssss.gouv.qc.ca,http://www.ciusss-capitalenationale.gouv.qc.ca/aireouverte
QBC4945,"CIUSSS Capitale-Nationale, Aire Ouverte - Site de Québec",Saint-Sauveur (Quartier),"Services confidentiels en personne ou virtuel pour la santé et le bien-être des adolescents et jeunes adultes, avec ou sans rendez-vous, suivi psychosocial. 12-25 ans",418-666-2613,aire-ouverte.ciussscn@ssss.gouv.qc.ca,http://www.ciusss-capitalenationale.gouv.qc.ca/aireouverte
QBC1566,"CIUSSS Capitale-Nationale, CLSC de Baie-Saint-Paul",Baie-Saint-Paul,"Services de santé et services sociaux courants, préventifs ou curatifs, de réadaptation ou de réinsertion, aide alimentaire programme OLO, authentification carte assurance maladie",418-435-5475,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1781
QBC1491,"CIUSSS Capitale-Nationale, CLSC de L'Ancienne-Lorette",L'Ancienne-Lorette,"Services de santé et services sociaux courants préventifs ou curatifs, réadaptation, réinsertion, aide alimentaire programme OLO",418-651-2572,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=827
QBC1479,"CIUSSS Capitale-Nationale, CLSC de L'Isle-aux-Coudres",L'Isle-aux-Coudres,"Services de santé et services sociaux courants préventifs ou curatifs, réadaptation, réinsertion, aide alimentaire programme OLO",418-438-2788,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1780
QBC1612,"CIUSSS Capitale-Nationale, CLSC de la Basse-Ville",Saint-Roch (Quartier),"Services de santé et services sociaux courants préventifs ou curatifs, enfance-jeunesse-famille, soins infirmiers. Pour résidents du territoire",Accueil 418-529-2572 / Rendez-vous 418-628-6808,,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=520
QBC1489,"CIUSSS Capitale-Nationale, CLSC de la Haute-Ville",Montcalm (Quartier),"Services de santé et services sociaux courants préventifs ou curatifs, guichet d'accès sans médecin de famille, programme SAD - soutien à domicile",Accueil 418-641-2572 / Rendez-vous 418-628-6808 / SAD 418-651-3888,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=164995
QBC1665,"CIUSSS Capitale-Nationale, CLSC de la Jacques-Cartier - Loretteville",Loretteville (Quartier),"Services de santé et services sociaux courants, inscription à la liste d'attente pour avoir accès à un médecin de famille",418-843-2572 / Rendez-vous 418-628-6808,,http://www.ciusss-capitalenationale.gouv.qc.ca/services/adresses
QBC1567,"CIUSSS Capitale-Nationale, CLSC de La Malbaie",La Malbaie,"Services de santé et services sociaux courants préventifs ou curatifs, réadaptation, réinsertion, aide alimentaire programme OLO",418-665-6413,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1189
QBC1490,"CIUSSS Capitale-Nationale, CLSC de Limoilou",La Cité - Limoilou (Arrondissement),"Services de santé et services sociaux courants préventifs ou curatifs, authentification carte assurance maladie, programme Traité santé pour maladie chronique",Accueil 418-529-2572 / Traité santé 418-656-4594,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=521
QBC1661,"CIUSSS Capitale-Nationale, CLSC de Pont-Rouge",Pont-Rouge,"Services de santé et services sociaux courants préventifs ou curatifs, réadaptation ou réinsertion. Pour résidents du territoire",Accueil 418-873-6062 / Rendez-vous Portneuf 418-666-7525,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=170443
QBC1503,"CIUSSS Capitale-Nationale, CLSC de Portneuf",Portneuf (Ville),Point de service offrant des prélèvements AVEC rendez-vous seulement,Rendez-vous Portneuf 418-666-7525,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=349489
QBC3224,"CIUSSS Capitale-Nationale, CLSC de Rivière-à-Pierre",Rivière-à-Pierre,Services de prélèvements AVEC rendez-vous uniquement,Rendez-vous Portneuf 418-666-7525,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=170481
QBC1613,"CIUSSS Capitale-Nationale, CLSC de Sainte-Foy - Sillery",Plateau (Quartier),"Services de santé et services sociaux courants préventifs ou curatifs, réadaptation ou réinsertion. Pour résidents du territoire",Accueil 418-651-2572 / Rendez-vous 418-628-6808,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=826
QBC1611,"CIUSSS Capitale-Nationale, CLSC des Rivières",Vanier (Quartier),"Services de santé et services sociaux courants préventifs ou curatifs, changement et suivi de pansement et soin des plaies",418-688-9212,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=44379
QBC1658,"CIUSSS Capitale-Nationale, CLSC Donnacona",Donnacona,"Services de santé et services sociaux courants, guichet d'accès sans médecin de famille, aide alimentaire programme OLO",418-285-2626,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=349494
QBC1513,"CIUSSS Capitale-Nationale, CLSC La Source - Nord",Notre-Dame-des-Laurentides (Quartier),"Services de santé et services sociaux courants préventifs ou curatifs, aide alimentaire programme OLO, programme SAD - soutien à domicile",Accueil 418-628-2572 / Rendez-vous 418-628-6808 / SAD 418-651-3888,,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=235527
QBC1511,"CIUSSS Capitale-Nationale, CLSC La Source - Sud",Des Jésuites (Quartier),"Services de santé et services sociaux courants préventifs ou curatifs, réadaptation ou réinsertion",Accueil 418-628-2572 / Rendez-vous 418-628-6808 / Équipe médicale 418-663-5350,,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1803
QBC1505,"CIUSSS Capitale-Nationale, CLSC Orléans - Beauport",Vieux-Moulin (Quartier),"Services de santé et services sociaux courants préventifs ou curatifs, programme SAD - soutien à domicile, GMF Orléans la Source",Accueil 418-663-2572 / Rendez-vous 418-628-6808 / SAD 418-651-3888 / GMF 418-663-3099,,http://www.sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1777
QBC1506,"CIUSSS Capitale-Nationale, CLSC Orléans - L'Île-d'Orléans",Saint-Pierre-de-l'Île-d'Orléans,Services de santé et services sociaux courants préventifs ou curatifs,,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1804
QBC1785,"CIUSSS Capitale-Nationale, CLSC Orléans - Maizerets",Maizerets (Quartier),"Services de santé et services sociaux courants préventifs ou curatifs, cours prénataux",,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=563627
QBC1657,"CIUSSS Capitale-Nationale, CLSC Saint-Marc-des-Carrières",Saint-Marc-des-Carrières,"Services de santé et services sociaux courants préventifs ou curatifs, soins de santé, programme SAD - soutien à domicile. Pour résidents du territoire",Accueil 418-268-3571 / Rendez-vous 418-666-7525 / SAD 1-888-949-1343,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=823
QBC1502,"CIUSSS Capitale-Nationale, Hôpital régional de Portneuf et CLSC Saint-Raymond",Saint-Raymond,"Services de santé et services sociaux courants préventifs ou curatifs, soins de santé, réadaptation ou réinsertion",Hôpital et CLSC 418-337-4611 / Rendez-vous 418-666-7525,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=273998
QBC1662,"CIUSSS Capitale-Nationale, Hôpital Sainte-Anne-de-Beaupré / CLSC Orléans - Beaupré",Beaupré,"Services de santé et services sociaux courants, urgence, laboratoire, clinique externe. Pour résidents du territoire",CLSC 418-827-5241 / Hôpital 418-827-3726 / Clinique externe 418-827-8215 / Rendez-vous 418-628-6808,,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=376578
QBC0388,Confédération des associations de proches en santé mentale du Québec,Saint-Sauveur (Quartier),"Regroupement, représentation et soutien aux organismes œuvrant auprès des proches de personnes ayant un problème de santé mentale, ligne de référence vers les associations locales",418-687-0474,info@capsantementale.ca,http://www.capsantementale.ca
QBC0345,Croissance Travail,Saint-Roch (Quartier),Services d'intégration sociale et professionnelle visant le rétablissement de la personne ayant des problèmes de santé mentale au moyen d'activités de travail. Pour adultes ayant des problèmes de santé mentale. 18-65 ans,418-522-1244 / Techno Solidarité 581-996-8449,serealiser@croissancetravail.qc.ca,http://www.croissancetravail.com
QBC0348,Demi-Lune,Vieux-Limoilou (Quartier),"Centre de nuit offrant un réseau social aux personnes ayant une problématique de santé mentale et vivant de l'insomnie, accueil, écoute téléphonique de nuit, intervention. Pour adultes vivant de l'insomnie et ayant une problématique de santé mentale. 18+",418-522-4002 / Ligne nuit 418-522-4002,cdn-demi-lune@videotron.ca,http://www.centredenuitdemilune.org
QBC0568,Marée (La),La Malbaie,"Amélioration de la qualité de vie des familles dont un membre est atteint de troubles de santé mentale graves ou modérés, réseau d'entraide entre famille et intervenants. Pour familles et amis ayant un proche atteint (schizophrénie, bipolaire, dépression, anxiété). 6+",418-665-0050,lamaree@lamaree.ca,http://www.lamaree.ca
QBC2423,Marée (La) - Point de service Baie-Saint-Paul,Baie-Saint-Paul,"Amélioration de la qualité de vie des familles dont un membre est atteint de troubles de santé mentale graves ou modérés, réseau d'entraide. Pour familles et amis d'un proche atteint. 6+",418-665-0050,lamaree@lamaree.ca,http://www.lamaree.ca
QBC0318,OCÉAN - Ligne d'intervention téléphonique,Cité-Universitaire (Quartier),"Ligne d'intervention téléphonique pour personnes désirant du support en lien avec une problématique de santé mentale ou une situation anxiogène (solitude, relations interpersonnelles, perte d'emploi, deuil)",418-522-3283,coordination@org-ocean.com,http://org-ocean.com/services/ligne-dintervention-telephonique
QBC4528,OCÉAN - Logement d'abord,Cité-Universitaire (Quartier),Accompagnement dans la recherche de logement pour personnes en situation d'itinérance ayant un problème de santé mentale. Pour personnes avec situation résidentielle précaire et problème de santé mentale. 17+,418-522-3352,info@org-ocean.com,http://org-ocean.com
QBC0561,OCÉAN - Soutien communautaire (SIV),Cité-Universitaire (Quartier),"Service d'intervention à domicile (soutien d'intensité variable) permettant l'accès à un intervenant à domicile, favorisant l'autonomie globale des personnes avec un problème de santé mentale. 17+",418-522-3352 poste 216,coordination@org-ocean.com,https://www.org-ocean.com/
QBC4529,OCÉAN - Soutien psychosocial léger,Cité-Universitaire (Quartier),"Service d'intervention dans des lieux publics pour des personnes avec des problèmes de santé mentale persistants, rencontres informelles avec un intervenant ou bénévole. Pour personnes ayant un problème de santé mentale persistant. 17+",418-522-3352 poste 216,coordination@org-ocean.com,http://org-ocean.com
QBC0597,Organisation communautaire d'écoute et d'aide naturelle (OCÉAN),Cité-Universitaire (Quartier),"Soutien à domicile pour personnes vivant avec des enjeux de santé mentale, développement de l'autonomie fonctionnelle et sociale, amélioration des habitudes de vie. Pour personnes ayant un trouble de santé mentale (dépression, anxiété, bipolarité, schizophrénie). 17+",418-522-3352 poste 216,coordination@org-ocean.com,http://www.org-ocean.com
QBC0600,Organisation pour la santé mentale œuvrant à la sensibilisation et à l'entraide (OSMOSE),Saint-Rodrigue (Quartier),"Organisme en santé mentale favorisant la sensibilisation et l'entraide pour une meilleure intégration personnelle et sociale de ses membres, milieu de vie. Pour adultes vivant ou ayant vécu une problématique de santé mentale. 18+",418-624-8504,osmose_1@videotron.ca,http://www.osmose1.com
QBC0609,Parents-Espoir,Maizerets (Quartier),"Service d'entraide par et pour les parents, coparents et futurs parents, services axés sur la parentalité et la santé mentale, programme GESPER. Pour parents voulant prévenir ou se rétablir d'un problème de santé mentale. 16+",418-522-7167,contact@parents-espoir.ca,http://www.parents-espoir.ca
QBC1884,PECH - Camp de base,Vieux Québec (Quartier),"Hébergement pour hommes adultes en difficulté, en situation d'itinérance ou à risque d'errance, accompagnement et soutien vers le rétablissement, hébergement court, moyen ou long terme. Pour hommes à risque d'itinérance. 18+",Maison Mère-Mallet 418-692-1762 poste 269 / PECH 418-523-2820,,http://www.infopech.org
QBC0606,Programme d'encadrement clinique et d'hébergement (PECH),Saint-Roch (Quartier),"Accompagnement des personnes vivant avec des problèmes de santé mentale, approche centrée sur les forces, intervention de crise (via APIR). Pour adultes ayant des troubles de santé mentale ou problématiques multiples. 18+",418-523-2820 / APIR 418-953-0139,pech@qc.aira.com,http://infopech.org
QBC0678,Relais La Chaumine,Vieux-Limoilou (Quartier),"Aide aux personnes vivant des difficultés psychologiques ou psychiatriques, cafés-rencontres, cuisines collectives, soupers communautaires, accueil, référence, formation. Pour adultes ayant ou ayant eu des difficultés d'ordre psychologique ou psychiatrique. 18+",418-529-4064,chaumine@videotron.ca,http://relaislachaumine.com
QBC4845,We Matter,Québec (Province),"Soutien aux jeunes autochtones avec des messages positifs d'espoir, de culture, de force, de guérison, de santé mentale et de valorisation de la vie, création et distribution de matériels et de ressources. 49 ans et moins",,info@wemattercampaign.org,https://wemattercampaign.org/fr/
QBC0241,Équilibre (L'),Maizerets (Quartier),"Soutien en personne et en ligne pour personnes vivant avec un trouble dépressif ou bipolaire, briser l'isolement, rencontre d'accueil, appels de suivi. Pour personnes ayant un trouble dépressif, bipolaire, épuisement professionnel. 17+",418-522-0551,lequilibresantementale@gmail.com,https://sites.google.com/view/lequilibre2/accueil
