id,nom,ville,province,categorie,telephone_actuel,telephone_corrige,site_actuel,site_corrige,http_status,description_actuelle,description_corrigee,adresse_actuelle,adresse_corrigee,problemes,action (garder|corriger|supprimer),notes
pw-shq-logement,SHQ – Société d'habitation du Québec,Province de Québec,QC,logement,1-800-463-4315,,https://www.habitation.gouv.qc.ca/,https://www.quebec.ca/gouvernement/ministeres-organismes/societe-habitation/retrouvez-la-shq-sur-quebecca,OK_200,,,,,SANS_DESCRIPTION,,
pw-csj-juridique,Commission des services juridiques (Aide juridique),Province de Québec,QC,soutienSocial,1-800-842-2213,,https://www.csj.qc.ca/,https://www.csj.qc.ca/commission-des-services-juridiques/,OK_200,,,,,SANS_DESCRIPTION,,
h-omh-mtl,Office municipal d'habitation de Montréal (OMHM),Montréal,QC,logement,514-872-6646,,https://omhm.qc.ca,https://www.omhm.qc.ca/fr/,OK_200,,,,,SANS_DESCRIPTION,,
ab-crea-ab,Association des courtiers immobiliers AB,Province de l'Alberta,AB,achatImmobilier,403-228-6845,,https://www.crea.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ab-edmonton-food,Edmonton Food Bank,Edmonton,AB,alimentation,780-425-4190,,https://www.edmontonsfoodbank.com,,OK_200,,,,,SANS_DESCRIPTION,,
bc-cmhc,SCHL – Colombie-Britannique,Province de la Colombie-Britannique,BC,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-workopolis,Service Canada – Guichet-emplois,Province de l'Ontario,ON,emploi,1-800-622-6232,,https://www.guichetemplois.gc.ca,https://www.guichetemplois.gc.ca/accueil,OK_200,,,,,SANS_DESCRIPTION,,
pe-immigration-pe,Immigration PEI,Province de l'Île-du-Prince-Édouard,PE,immigration,902-620-3628,,https://www.princeedwardisland.ca/immigration,,OK_200,,,,,SANS_DESCRIPTION,,
bc-foodbank-surrey,Surrey Food Bank,Surrey,BC,alimentation,604-584-8813,,https://www.surreyfoodbank.org,https://surreyfoodbank.org/,OK_200,,,,,SANS_DESCRIPTION,,
bc-housing,BC Housing,Province de la Colombie-Britannique,BC,logement,1-800-257-7756,,https://www.bchousing.org,,OK_200,,,,,SANS_DESCRIPTION,,
bc-tenant-resource,Tenant Resource & Advisory Centre,Province de la Colombie-Britannique,BC,logement,604-255-0546,,https://www.tenants.bc.ca,https://tenants.bc.ca/,OK_200,,,,,SANS_DESCRIPTION,,
on-legal-aid-ottawa,Aide juridique Ontario – Ottawa,Ottawa,ON,soutienSocial,613-238-7931,,https://www.legalaid.on.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-legal-aid-toronto,Aide juridique Ontario – Toronto,Toronto,ON,soutienSocial,416-979-1446,,https://www.legalaid.on.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-habitat-toronto,Habitat for Humanity Greater Toronto,Toronto,ON,logement,416-234-9930,,https://habitatgta.ca,,OK_200,,,,,SANS_DESCRIPTION,,
qc-immo-schl-qc,SCHL – Bureau Montréal,Montréal,QC,achatImmobilier,514-283-2222,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-children-aid-on,Children's Aid Society Ottawa,Ottawa,ON,famille,613-747-7800,,https://www.casott.on.ca,https://casott.on.ca/,OK_200,,,,,SANS_DESCRIPTION,,
on-shelter-ottawa,Ottawa Mission – Refuge hommes Ottawa,Ottawa,ON,logement,613-234-1144,,https://www.ottawamission.com,https://ottawamission.com/,OK_200,,,,,SANS_DESCRIPTION,,
bc-legal-aid-bc,Aide juridique BC – Legal Aid,Province de la Colombie-Britannique,BC,soutienSocial,604-408-2172,,https://lss.bc.ca,https://legalaid.bc.ca/,OK_200,,,,,SANS_DESCRIPTION,,
nb-legal-aid,Aide juridique Nouveau-Brunswick,Fredericton,NB,soutienSocial,506-444-2776,,https://www.legalaid-aidejuridique-nb.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-toronto-public-health,Toronto Public Health,Toronto,ON,sante,416-338-7600,,https://www.toronto.ca/community-people/health-wellness-care/,,OK_200,,,,,SANS_DESCRIPTION,,
nb-cmha,CMHA Nouveau-Brunswick,Province du Nouveau-Brunswick,NB,santemental,506-455-5231,,https://cmhanb.ca,,OK_200,,,,,SANS_DESCRIPTION,,
nl-legal-aid,Aide juridique Terre-Neuve,St. John's,NL,soutienSocial,709-753-7860,,https://www.legalaid.nl.ca,,OK_200,,,,,SANS_DESCRIPTION,,
mb-health-line,Health Links Manitoba,Province du Manitoba,MB,sante,204-788-8200,,https://www.gov.mb.ca/health/healthlinks/,https://www.manitoba.ca/404.html,OK_200,,,,,SANS_DESCRIPTION,,
on-orea,OREA – Ontario Real Estate Association,Province de l'Ontario,ON,achatImmobilier,416-445-9910,,https://www.orea.com,,OK_200,,,,,SANS_DESCRIPTION,,
on-employment-on,Emploi Ontario,Province de l'Ontario,ON,emploi,1-800-387-5514,,https://www.ontario.ca/page/employment-ontario,,OK_200,,,,,SANS_DESCRIPTION,,
sk-cmhc-sk,SCHL – Saskatchewan,Province de la Saskatchewan,SK,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-costi-toronto,COSTI – Immigrant Services,Toronto,ON,immigration,416-658-1600,,https://www.costi.org,,OK_200,,,,,SANS_DESCRIPTION,,
nl-cmha,CMHA Terre-Neuve,Province de Terre-Neuve-et-Labrador,NL,santemental,709-753-8550,,https://www.cmhanl.ca,https://cmhanl.ca/,OK_200,,,,,SANS_DESCRIPTION,,
on-catholic-cross,Catholic Cross-Cultural Services,Toronto,ON,immigration,416-757-7010,,https://www.ccscan.ca,https://ccscan.ca/,OK_200,,,,,SANS_DESCRIPTION,,
bc-211,211 Colombie-Britannique,Province de la Colombie-Britannique,BC,soutienSocial,211,,https://www.211.ca,https://211.ca/,OK_200,,,,,SANS_DESCRIPTION,,
on-children-aid-toronto,Children's Aid Society Toronto,Toronto,ON,famille,416-924-4646,,https://www.torontocas.ca,,OK_200,,,,,SANS_DESCRIPTION,,
bc-crisis-line,BC Crisis Line,Province de la Colombie-Britannique,BC,santemental,1-800-784-2433,,https://www.crisiscentre.bc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-interval-house,Interval House – Violence conjugale,Toronto,ON,famille,416-924-1491,,https://www.intervalhouse.ca,https://intervalhouse.ca/,OK_200,,,,,SANS_DESCRIPTION,,
bc-health-link,HealthLink BC,Province de la Colombie-Britannique,BC,sante,811,,https://www.healthlinkbc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
bc-rebgv,Association immobilière du Grand Vancouver,Vancouver,BC,achatImmobilier,604-730-3000,,https://www.rebgv.org,https://www.gvrealtors.ca/,OK_200,,,,,SANS_DESCRIPTION,,
bc-workbc,WorkBC – Emploi,Province de la Colombie-Britannique,BC,emploi,1-877-952-6914,,https://www.workbc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ab-ahs,Alberta Health Services,Province de l'Alberta,AB,sante,1-877-644-9992,,https://www.albertahealthservices.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-cmhc-on,SCHL – Société canadienne d'hypothèques,Province de l'Ontario,ON,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ab-health-link,Health Link Alberta,Province de l'Alberta,AB,sante,811,,https://www.albertahealthservices.ca/assets/healthinfo/link/index.html,,OK_200,,,,,SANS_DESCRIPTION,,
on-ohip,Assurance-maladie OHIP,Province de l'Ontario,ON,sante,1-800-268-1154,,https://www.ontario.ca/page/what-ohip-covers,,OK_200,,,,,SANS_DESCRIPTION,,
nl-crisis-nl,Mental Health Crisis Line NL,Province de Terre-Neuve-et-Labrador,NL,santemental,1-888-737-4668,,https://www.gov.nl.ca/hcs/mentalhealth/,https://www.gov.nl.ca/hcs/mentalhealth-committee/mentalhealth/,OK_200,,,,,SANS_DESCRIPTION,,
qc-immo-fciq,FCIQ – Fédération chambres immobilières QC,Province de Québec,QC,achatImmobilier,514-762-2440,,https://www.fciq.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ab-alis,ALIS – Emploi Alberta,Province de l'Alberta,AB,emploi,1-800-661-3753,,https://alis.alberta.ca,,OK_200,,,,,SANS_DESCRIPTION,,
mb-klinic,Klinic Community Health,Winnipeg,MB,santemental,204-784-4090,,https://klinic.mb.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ab-cmhc-ab,SCHL – Alberta,Province de l'Alberta,AB,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
nb-shelter-moncton,Harvest House – Hébergement urgence,Moncton,NB,logement,506-388-0090,,https://www.harvesthouse.ca,https://www.hhcraftsmen.com/,OK_200,,,,,SANS_DESCRIPTION,,
on-211,211 Ontario,Province de l'Ontario,ON,soutienSocial,211,,https://211ontario.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-camh,Centre for Addiction and Mental Health (CAMH),Toronto,ON,santemental,416-535-8501,,https://www.camh.ca,,OK_200,,,,,SANS_DESCRIPTION,,
sk-mobile-crisis,Mobile Crisis Services,Regina,SK,santemental,306-757-0127,,https://www.mobilecrisis.ca,https://mobilecrisis.ca/,OK_200,,,,,SANS_DESCRIPTION,,
ns-immigration-ns,ISANS – Immigrant Services Association of NS,Halifax,NS,immigration,902-423-3607,,https://isans.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-kids-help,Kids Help Phone,Province de l'Ontario,ON,santemental,1-800-668-6868,,https://kidshelpphone.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-toronto-shelter,Refuge – Ville de Toronto,Toronto,ON,logement,416-338-4766,,https://www.toronto.ca/community-people/housing-shelter/,,OK_200,,,,,SANS_DESCRIPTION,,
on-rentals-on,Location — Tribunal du logement,Province de l'Ontario,ON,logement,1-888-332-3234,,https://tribunalsontario.ca/ltb/,,OK_200,,,,,SANS_DESCRIPTION,,
pe-811,Health PEI – Info-Santé,Province de l'Île-du-Prince-Édouard,PE,sante,811,,https://www.healthpei.ca,https://www.princeedwardisland.ca/en/topic/health-pei,OK_200,,,,,SANS_DESCRIPTION,,
pe-family-pe,Family Violence Prevention Services PEI,Province de l'Île-du-Prince-Édouard,PE,famille,902-368-6589,,https://www.princeedwardisland.ca/fr/information/affaires-sociales-et-aines/violence-familiale,,OK_200,,,,,SANS_DESCRIPTION,,
bc-greater-vancouver-food,Greater Vancouver Food Bank,Vancouver,BC,alimentation,604-876-3601,,https://www.foodbank.bc.ca,https://foodbank.bc.ca/,OK_200,,,,,SANS_DESCRIPTION,,
on-ottawa-food,Ottawa Food Bank,Ottawa,ON,alimentation,613-745-7001,,https://ottawafoodbank.ca,https://www.ottawafoodbank.ca/,OK_200,,,,,SANS_DESCRIPTION,,
bc-mosaic,MOSAIC – Immigrant Services,Vancouver,BC,immigration,604-254-9626,,https://www.mosaicbc.org,https://mosaicbc.org/,OK_200,,,,,SANS_DESCRIPTION,,
nl-housing-nl,NL Housing Corporation,Province de Terre-Neuve-et-Labrador,NL,logement,709-724-3000,,https://www.nlhc.nl.ca,,OK_200,,,,,SANS_DESCRIPTION,,
bc-shelter-vancouver,Union Gospel Mission Vancouver,Vancouver,BC,logement,604-253-3323,,https://www.ugm.ca,https://ugm.ca/,OK_200,,,,,SANS_DESCRIPTION,,
nl-nlhs,Newfoundland and Labrador Health Services,Province de Terre-Neuve-et-Labrador,NL,sante,709-752-4100,,https://nlhealthservices.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-daily-bread,Daily Bread Food Bank,Toronto,ON,alimentation,416-203-0050,,https://www.dailybread.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-distress,Ligne de crise – Distress Centres of Ontario,Province de l'Ontario,ON,santemental,1-800-268-9688,,https://www.dcontario.org,,OK_200,,,,,SANS_DESCRIPTION,,
yt-cmhc-yt,SCHL – Yukon,Territoire du Yukon,YT,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
pe-cmhc-pe,SCHL – Île-du-Prince-Édouard,Province de l'Île-du-Prince-Édouard,PE,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ab-calgary-housing,Calgary Housing Company,Calgary,AB,logement,403-568-9600,,https://calgaryhousing.com,,OK_200,,,,,SANS_DESCRIPTION,,
ab-crisis-line-ab,Crisis Line Alberta,Province de l'Alberta,AB,santemental,1-844-944-5465,,https://www.albertahealthservices.ca/findhealth/service.aspx?Id=6810,,OK_200,,,,,SANS_DESCRIPTION,,
ab-ecca,ECCA – Immigrant Services Calgary,Calgary,AB,immigration,403-297-3888,,https://www.ecca.org,,OK_200,,,,,SANS_DESCRIPTION,,
nt-cmhc-nt,SCHL – Territoires du Nord-Ouest,Territoires du Nord-Ouest,NT,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
nt-employment-nt,Services aux travailleurs TNO,Yellowknife,NT,emploi,867-920-3252,,https://www.ece.gov.nt.ca/fr/services/emploi,,OK_200,,,,,SANS_DESCRIPTION,,
nt-mcss,Multi-Cultural Centre NWT,Yellowknife,NT,immigration,867-873-8292,,https://www.mcss.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ab-ecala,Immigrant Services Edmonton (EISA),Edmonton,AB,immigration,780-474-8445,,https://www.eisa-edmonton.org,,OK_200,,,,,SANS_DESCRIPTION,,
mb-siloam,Siloam Mission – Hébergement urgence,Winnipeg,MB,logement,204-942-4673,,https://www.siloam.ca,,OK_200,,,,,SANS_DESCRIPTION,,
mb-cmhc-mb,SCHL – Manitoba,Province du Manitoba,MB,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
mb-employment-mb,Manitoba Employment Standards,Province du Manitoba,MB,emploi,204-945-3352,,https://www.gov.mb.ca/labour/standards/,,OK_200,,,,,SANS_DESCRIPTION,,
mb-winnipeg-harvest,Winnipeg Harvest Food Bank,Winnipeg,MB,alimentation,204-982-3670,,https://winnipegharvest.org,https://www.harvestmanitoba.ca/,OK_200,,,,,SANS_DESCRIPTION,,
pe-crisis-line,Ligne de crise IPE,Province de l'Île-du-Prince-Édouard,PE,santemental,1-800-218-2885,,https://www.princeedwardisland.ca/fr/information/sante-pei,https://www.princeedwardisland.ca/fr/information/sante-pei,OK_200,,,,,SANS_DESCRIPTION,,
sk-foodbank-regina,Regina Food Bank,Regina,SK,alimentation,306-527-0000,,https://www.reginafoodbank.ca,,OK_200,,,,,SANS_DESCRIPTION,,
nb-chimo,Chimo – Ligne de crise,Province du Nouveau-Brunswick,NB,santemental,1-800-667-5005,,https://www.chimohelpline.ca,https://johnhowardfredericton.ca,OK_200,,,,,SANS_DESCRIPTION,,
sk-foodbank-saskatoon,Saskatoon Food Bank,Saskatoon,SK,alimentation,306-664-6565,,https://www.saskatoonfoodbank.org,https://saskatoonfoodbank.org/,OK_200,,,,,SANS_DESCRIPTION,,
pe-health-pei,Health PEI,Province de l'Île-du-Prince-Édouard,PE,sante,902-368-6130,,https://www.healthpei.ca,https://www.princeedwardisland.ca/en/topic/health-pei,OK_200,,,,,SANS_DESCRIPTION,,
nb-hnb,Horizon Santé-Nord NB,Province du Nouveau-Brunswick,NB,sante,506-857-5111,,https://www.horizonnb.ca,https://horizonnb.ca/,OK_200,,,,,SANS_DESCRIPTION,,
nb-wellness-nb,Bien-être NB,Province du Nouveau-Brunswick,NB,santemental,1-866-771-7712,,https://www.gnb.ca/sante,https://www2.gnb.ca/content/gnb/fr/ministeres/sante.html,OK_200,,,,,SANS_DESCRIPTION,,
nb-cmhc-nb,SCHL – Nouveau-Brunswick,Province du Nouveau-Brunswick,NB,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ns-crisis-line,Ligne de crise NS,Province de la Nouvelle-Écosse,NS,santemental,1-888-429-8167,,https://www.nshealth.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ns-nsha,Nova Scotia Health Authority,Province de la Nouvelle-Écosse,NS,sante,1-855-450-3700,,https://www.nshealth.ca,,OK_200,,,,,SANS_DESCRIPTION,,
nl-family-nl,Choices for Youth NL,St. John's,NL,famille,709-722-2070,,https://choicesforyouth.ca,https://www.choicesforyouth.ca/,OK_200,,,,,SANS_DESCRIPTION,,
pe-employment-pe,Emploi PEI,Province de l'Île-du-Prince-Édouard,PE,emploi,902-368-5780,,https://www.princeedwardisland.ca/fr/sujet/emploi,,OK_200,,,,,SANS_DESCRIPTION,,
nl-811-nl,HealthLine NL,Province de Terre-Neuve-et-Labrador,NL,sante,811,,https://www.gov.nl.ca/hcs/,,OK_200,,,,,SANS_DESCRIPTION,,
nl-cmhc-nl,SCHL – Terre-Neuve-et-Labrador,Province de Terre-Neuve-et-Labrador,NL,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
nu-cmhc-nu,SCHL – Nunavut,Territoire du Nunavut,NU,achatImmobilier,1-800-668-2642,,https://www.cmhc-schl.gc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
nu-housing-nu,Nunavut Housing Corporation,Iqaluit,NU,logement,867-975-7200,,https://www.nunavuthousing.ca,,OK_200,,,,,SANS_DESCRIPTION,,
nl-employment-nl,Emploi NL,Province de Terre-Neuve-et-Labrador,NL,emploi,709-729-2480,,https://www.gov.nl.ca/mae/,https://www.gov.nl.ca/eccc/,OK_200,,,,,SANS_DESCRIPTION,,
yt-foodbank-yt,Whitehorse Food Bank,Whitehorse,YT,alimentation,867-456-4567,,https://www.whitehorsefoodbank.ca,https://yukonfoodbank.ca/,OK_200,,,,,SANS_DESCRIPTION,,
qc-refuge-montreal-armeedusalut,Armée du Salut – Refuge Montréal,Montréal,QC,logement,514-288-2848,,https://www.salvationarmy.ca,https://salvationarmy.ca/,OK_200,,,,,SANS_DESCRIPTION,,
nb-health-line,Téléconsultation médicale NB,Province du Nouveau-Brunswick,NB,sante,811,,https://www2.gnb.ca/content/gnb/fr/services/services_renderer.201397.Health_Link_-_Health_Advice_811.html,,OK_200,,,,,SANS_DESCRIPTION,,
qc-refuge-qc-lauberiviere,La Bouchée Généreuse – L'Auberivière Québec,Québec,QC,logement,418-694-9316,,https://www.lauberiviere.org,https://lauberiviere.org/,OK_200,,,,,SANS_DESCRIPTION,,
on-women-shelter-on,Interval House – Toronto,Toronto,ON,logement,416-924-1491,,https://www.intervalhouse.ca,https://intervalhouse.ca/,OK_200,,,,,SANS_DESCRIPTION,,
on-ymca-toronto,YMCA Newcomer Services Toronto,Toronto,ON,immigration,416-928-9622,,https://www.ymcagta.org,,OK_200,,,,,SANS_DESCRIPTION,,
qc-refuge-laval-croix-chemin,La Piaule – Refuge jeunes Laval,Laval,QC,logement,450-669-4155,,https://www.lapiaule.ca,,OK_200,,,,,SANS_DESCRIPTION,,
qc-log-montreal-rclalq,RCLALQ – Réseau droits locataires QC,Province de Québec,QC,logement,514-521-7114,,https://www.rclalq.qc.ca,https://rclalq.qc.ca//,OK_200,,,,,SANS_DESCRIPTION,,
on-ottawa-public-health,Ottawa Public Health,Ottawa,ON,sante,613-580-6744,,https://www.ottawapublichealth.ca,https://www.ottawapublichealth.ca/en/index.aspx,OK_200,,,,,SANS_DESCRIPTION,,
on-habitat-on,Habitat pour l'Humanité Ontario,Province de l'Ontario,ON,logement,416-234-9930,,https://habitatgta.ca,,OK_200,,,,,SANS_DESCRIPTION,,
bc-mental-health,BC Mental Health & Substance Use,Province de la Colombie-Britannique,BC,santemental,1-800-663-1441,,https://www.bcmhsus.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-family-services-toronto,Family Service Toronto,Toronto,ON,famille,416-595-9618,,https://www.familyservicetoronto.org,https://familyservicetoronto.org/,OK_200,,,,,SANS_DESCRIPTION,,
on-foodbank-on,Feed Ontario – Réseau banques alimentaires,Province de l'Ontario,ON,alimentation,905-624-9896,,https://feedontario.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ab-distress-calgary,Distress Centre Calgary,Calgary,AB,santemental,403-266-4357,,https://www.distresscentre.com,https://distresscentre.com/,OK_200,,,,,SANS_DESCRIPTION,,
bc-family-services,Family Services of Greater Vancouver,Vancouver,BC,famille,604-736-4016,,https://www.fsgv.ca,https://fsgv.ca/,OK_200,,,,,SANS_DESCRIPTION,,
mb-housing-mb,Manitoba Housing,Province du Manitoba,MB,logement,204-945-4663,,https://www.gov.mb.ca/housing/,,OK_200,,,,,SANS_DESCRIPTION,,
mb-family-services,Family Services Manitoba,Province du Manitoba,MB,famille,204-945-6171,,https://www.gov.mb.ca/fs/,,OK_200,,,,,SANS_DESCRIPTION,,
