id_suggere,name,category,subcategory,city,address,postal_code,phone,website,description,is_urgent,source_url,statut_bdd,a_verifier
new-clsc-longueuil-ouest,CLSC de Longueuil-Ouest,health,CLSC,Longueuil,"201, boul. Curé-Poirier Ouest",J4J 2G4,450 651-9830,https://www.santemonteregie.qc.ca,CLSC – Vieux-Longueuil secteur ouest.,false,https://www.santemonteregie.qc.ca/installations/clsc-de-longueuil-ouest,NOUVEAU,
new-clsc-simonne-monet,CLSC Simonne-Monet-Chartrand,health,CLSC,Longueuil,"1303, boul. Jacques-Cartier Est",J4M 2Y8,450 463-2850,https://www.santemonteregie.qc.ca,CLSC – Vieux-Longueuil secteur est.,false,https://www.santemonteregie.qc.ca,NOUVEAU,
new-clsc-saint-hubert,CLSC de Saint-Hubert,health,CLSC,Longueuil,"6800, boul. Cousineau, Saint-Hubert",J3Y 8Z4,450 443-7400,https://www.santemonteregie.qc.ca,CLSC + GMF-U Saint-Hubert.,false,https://www.santemonteregie.qc.ca,NOUVEAU,
new-clsc-samuel-champlain,CLSC Samuel-de-Champlain,health,CLSC,Brossard,"5811, boul. Taschereau, bureau 100",J4Z 1A5,450 445-4452,https://www.santemonteregie.qc.ca,CLSC – Brossard / Greenfield Park / Champlain.,false,https://www.santemonteregie.qc.ca,NOUVEAU,
new-cmsss-gatineau,Centre multiservices SSS de Gatineau (CLSC de la Gappe),health,CLSC,Gatineau,"777, boul. de la Gappe",J8T 8R2,819 966-6550,https://cisss-outaouais.gouv.qc.ca,CLSC principal Gatineau – L–V 8h-21h.,false,https://cisss-outaouais.gouv.qc.ca/language/fr/centre-multiservices-de-sante-et-de-services-sociaux-de-gatineau/,NOUVEAU,
new-clsc-saint-redempteur,CLSC Saint-Rédempteur (Hull),health,CLSC,Gatineau,"85, rue Saint-Rédempteur",J8X 4E6,819 966-6510,https://cisss-outaouais.gouv.qc.ca,CLSC secteur Hull.,false,https://cisss-outaouais.gouv.qc.ca,NOUVEAU,
new-clsc-leguerrier,CLSC LeGuerrier (Aylmer),health,CLSC,Gatineau,"425, rue Leguerrier",J9H 6N8,819 966-6300,https://cisss-outaouais.gouv.qc.ca,CLSC secteur Aylmer – sur rendez-vous.,false,https://cisss-outaouais.gouv.qc.ca,NOUVEAU,
new-clsc-vallee-lievre,CLSC Vallée-de-la-Lièvre (Buckingham),health,CLSC,Gatineau,"578, rue Maclaren",J8M 1A2,819 986-3359,https://cisss-outaouais.gouv.qc.ca,CLSC secteur Buckingham.,false,https://cisss-outaouais.gouv.qc.ca,NOUVEAU,
new-fadoq-laval,FADOQ – Région de Laval,seniors,FADOQ régionale,Laval,"2345, rue Michelin, bureau 230",H7L 5B9,450 686-2339,https://www.fadoq.ca/laval,Bureau régional FADOQ Laval. Sans frais 1 800 828-3344.,false,https://www.fadoq.ca/laval/,DOUBLON (qc-lvl-s022),
new-fadoq-rive-sud,FADOQ – Région Rive-Sud-Suroît,seniors,FADOQ régionale,Saint-Jean-sur-Richelieu,"900, boul. Industriel, bureau 250",J3B 8J4,450 347-0910,https://www.fadoq.ca/rive-sud-suroit,"Couvre Longueuil, Brossard, Saint-Hubert, Saint-Jean et Suroît.",false,https://www.fadoq.ca/rive-sud-suroit/,NOUVEAU,
new-fadoq-outaouais,FADOQ – Région Outaouais,seniors,FADOQ régionale,Gatineau,"811, boul. Saint-René Ouest, bureau D",J8T 8M3,819 777-5774,https://www.fadoq.ca/outaouais,Bureau régional FADOQ Outaouais.,false,https://www.fadoq.ca/outaouais,DOUBLON (qc-gat-s030),
new-popote-laval,Association des Popotes Roulantes de Laval (APRL),seniors,Popote roulante,Laval,"1870, rue Michelin",H7L 4S2,,https://popoteroulantelaval.org,Coordonne les popotes membres de Laval.,false,https://popoteroulantelaval.org/services/,NOUVEAU,Téléphone à confirmer
new-popote-cab-gatineau,Popote roulante – CAB de Gatineau,seniors,Popote roulante,Gatineau,"500, boul. Gréber, local 109",J8T 7W3,819 568-0747,https://www.cabgatineau.com,Repas livrés à domicile secteur Gatineau.,false,https://www.cabgatineau.com/services/popote-roulante,DOUBLON (qc-gat-fd012),
new-popote-cab-hull,Popote roulante – CAB de Hull,seniors,Popote roulante,Gatineau,,,819 778-2900,https://cabhull.org,Repas livrés à domicile secteur Hull.,false,https://cabhull.org/services/popote-roulante/,NOUVEAU,Adresse à confirmer
new-popote-aylmer,Popote roulante d'Aylmer,seniors,Popote roulante,Gatineau,"59, rue Bancroft",J9H 4N6,,,Repas livrés à domicile secteur Aylmer.,false,,NOUVEAU,Téléphone à confirmer
new-omh-laval,Office municipal d'habitation de Laval,housing,OMH,Laval,"3320, rue des Châteaux",H7V 0B8,450 688-0184,https://www.omhlaval.ca,"HLM, supplément au loyer, recherche de logement.",false,https://www.omhlaval.ca/index.php/fr/coordonnees,NOUVEAU,
new-oh-longueuil,Office d'habitation de Longueuil (OHL),housing,OMH,Longueuil,"1111, rue Saint-Charles Ouest, bureau 255",J4K 5G4,450 670-2733,https://ohlongueuil.com,Gère ~4 190 logements pour Longueuil/Brossard/Saint-Lambert.,false,https://ohlongueuil.com,DOUBLON (qc-lng-f002),
new-oh-longueuil-brossard,OH Longueuil – point de service Brossard,housing,Point de service OMH,Brossard,"5805, Grande Allée",J4Z 3G4,450 670-2733,https://ohlongueuil.com,Point de service Brossard de l'OHL.,false,https://ohlongueuil.com,DOUBLON (qc-lng-f002),
new-oh-outaouais,Office d'habitation de l'Outaouais,housing,OMH,Gatineau,"227, chemin de la Savane",J8T 1R5,819 568-0033,https://www.ohoutaouais.ca,Logement social et abordable Outaouais.,false,https://www.ohoutaouais.ca,NOUVEAU,
new-oh-outaouais-sarl,SARL – Service d'aide à la recherche de logement (Outaouais),housing,Aide recherche logement,Gatineau,"649, boul. de la Gappe",J8T 8G1,819 568-2433,https://www.ohoutaouais.ca,Service gratuit d'aide à la recherche de logement.,false,https://www.ohoutaouais.ca,DOUBLON (qc-gat-lo002),
new-centraide-cdq,Centraide Centre-du-Québec,social,Centraide régional,Drummondville,"154, rue Dunkin",J2B 5V1,819 477-0505,https://centraide-rcoq.ca/cdq/,Bailleur de fonds régional ~80 organismes communautaires.,false,https://centraide-rcoq.ca/cdq/nous-joindre/,NOUVEAU,
new-moisson-mcdq,Moisson Mauricie / Centre-du-Québec,social,Banque alimentaire,Trois-Rivières,"1579, rue Laviolette",G9A 1W5,819 371-7778,https://www.moisson-mcdq.org,Banque alimentaire régionale.,false,https://www.moisson-mcdq.org,DOUBLON (qc-tro-fd001),
new-cab-drummond,Centre d'action bénévole Drummond,social,Centre d'action bénévole,Drummondville,"436, rue Saint-Pierre",J2C 3W1,819 472-6101,http://www.cabdrummond.ca,"Promotion du bénévolat, services aux personnes vulnérables.",false,http://www.cabdrummond.ca,NOUVEAU,
new-cab-bois-francs,Carrefour d'entraide bénévole des Bois-Francs,social,Centre d'action bénévole,Victoriaville,"40, rue Alice",G6P 3H4,819 758-4188,,"Accompagnement-transport, dépannage alimentaire, visites amicales.",false,,NOUVEAU,
new-cab-trait-union,CAB Trait d'Union (Shawinigan),social,Centre d'action bénévole,Shawinigan,"4393, boul. des Hêtres",G9N 4V5,819 539-8844,https://www.cabtraitdunion.com,"Popote, accompagnement-transport, PAIR, Tél-Écoute, impôts.",false,https://www.cabtraitdunion.com,NOUVEAU,
new-cab-grand-mere,CAB de Grand-Mère,social,Centre d'action bénévole,Shawinigan,"660, 13e Rue, C.P. 10 006 (Grand-Mère)",G9T 5K7,819 538-7689,https://www.cabgm.org,CAB secteur Grand-Mère.,false,https://www.cabgm.org,NOUVEAU,
new-cab-mrc-assomption,CAB MRC L'Assomption,social,Centre d'action bénévole,Repentigny,"50, rue Thouin, Pavillon Desjardins, bureau 201",J6A 4J4,450 581-5033,https://www.cabmrclassomption.com,"Repentigny, Mascouche, L'Assomption.",false,https://www.cabmrclassomption.com,DOUBLON (qc-rep-fd001),
new-cje-laval,Carrefour Jeunesse-Emploi de Laval,employment,CJE,Laval,"500, boul. Saint-Martin Ouest, bureau 150",H7M 3Y2,450 967-2535,https://www.cjelaval.qc.ca,"CJE Laval – emploi, retour aux études 16-35 ans.",false,https://www.cjelaval.qc.ca,NOUVEAU,
new-cje-longueuil,CJE du Vieux-Longueuil,employment,CJE,Longueuil,"125, boul. Sainte-Foy, 3e étage",J4J 1W7,450 677-1635,http://www.placerivesud.qc.ca,CJE Vieux-Longueuil 16-35 ans.,false,http://www.placerivesud.qc.ca,NOUVEAU,
new-cje-saint-hubert,CJE Saint-Hubert,employment,CJE,Longueuil,"6110, chemin de Chambly",J3Y 3R5,,https://www.longueuil.quebec/fr/carrefour-jeunesse-emploi-saint-hubert,CJE secteur Saint-Hubert.,false,https://www.longueuil.quebec/fr/carrefour-jeunesse-emploi-saint-hubert,NOUVEAU,Téléphone à confirmer
new-sq-laval-rapides,Services Québec – Laval-des-Rapides,administrative,Services Québec,Laval,"3, Place Laval, bureau 430",H7N 1A2,450 972-3050,https://www.quebec.ca,"Emploi, solidarité sociale, état civil, immigration.",false,https://www.localisateur.servicesquebec.gouv.qc.ca/,NOUVEAU,
new-sq-laval-chomedey,Services Québec – Chomedey,administrative,Services Québec,Laval,"1438, boul. Daniel-Johnson",H7V 4B5,450 680-6400,https://www.quebec.ca,Bureau Services Québec Chomedey.,false,https://www.localisateur.servicesquebec.gouv.qc.ca/,NOUVEAU,
new-sq-longueuil-est,Services Québec – Longueuil Est,administrative,Services Québec,Longueuil,"2877, chemin de Chambly, bureau 40",J4L 1M8,450 677-5517,https://www.quebec.ca,Sans frais 1 866 854-4077.,false,https://www.localisateur.servicesquebec.gouv.qc.ca/,NOUVEAU,
new-mf-brossard,Maison de la famille de Brossard,family,Maison de la famille,Brossard,,,450 678-5222,https://www.mfdebrossard.org,"Soutien aux familles, ateliers parents.",false,https://www.mfdebrossard.org,NOUVEAU,Adresse à confirmer
new-mf-parentraide,Maison de la famille La Parentr'aide,family,Maison de la famille,Longueuil,,,450 923-9333,http://laparentraide.ca,Soutien aux familles Longueuil/Saint-Hubert.,false,http://laparentraide.ca,NOUVEAU,Adresse à confirmer
new-aj-longueuil-civil,Aide juridique Longueuil – Civile,legal,Aide juridique,Longueuil,"101, boul. Roland-Therrien, bureau 200",J4H 4B9,450 928-7659,https://www.csj.qc.ca,Aide juridique civile.,false,https://www.csj.qc.ca,DOUBLON (qc-lng-l001),
new-aj-longueuil-crim,Aide juridique Longueuil – Criminelle/Jeunesse,legal,Aide juridique,Longueuil,"1732, boul. Marie-Victorin",J4G 1A5,450 928-7666,https://www.csj.qc.ca,Aide juridique criminelle et jeunesse.,false,https://www.csj.qc.ca,NOUVEAU,
new-aj-brossard,Aide juridique Brossard,legal,Aide juridique,Brossard,"6200, boul. Taschereau, bureau 302",J4W 3J8,450 462-6200,https://www.csj.qc.ca,Bureau d'aide juridique Brossard.,false,https://www.csj.qc.ca,NOUVEAU,
new-aj-gatineau-fam,Aide juridique Gatineau – Famille/Civil,legal,Aide juridique,Gatineau,"365, boul. Gréber, bureau 202",J8T 5R3,819 568-0990,https://www.csj.qc.ca,Aide juridique famille et civile.,false,https://www.csj.qc.ca,DOUBLON (qc-gat-l002),
new-aj-gatineau-hull,Aide juridique Gatineau (Hull),legal,Aide juridique,Gatineau,"768, boul. Saint-Joseph, bureau 210",J8Y 4B8,819 772-3011,https://www.csj.qc.ca,Aide juridique secteur Hull.,false,https://www.csj.qc.ca,DOUBLON (qc-gat-l003),
new-aj-gatineau-crim,Aide juridique Gatineau – Criminelle,legal,Aide juridique,Gatineau,"136, rue Wright",J8X 2G9,819 772-3084,https://www.csj.qc.ca,Aide juridique section criminelle.,false,https://www.csj.qc.ca,NOUVEAU,
new-clsc-qc-bv,CLSC de la Basse-Ville,health,CLSC,Québec,"50, rue Saint-Joseph Est",G1K 3A5,418 529-2572,https://www.ciusss-capitalenationale.gouv.qc.ca,CLSC – Basse-Ville de Québec.,false,https://www.ciusss-capitalenationale.gouv.qc.ca,NOUVEAU,
new-clsc-qc-hv,CLSC de la Haute-Ville,health,CLSC,Québec,"55, chemin Sainte-Foy",G1R 1S9,418 641-2572,https://www.ciusss-capitalenationale.gouv.qc.ca,CLSC – Haute-Ville de Québec.,false,https://www.ciusss-capitalenationale.gouv.qc.ca,NOUVEAU,
new-clsc-qc-limoilou,CLSC de Limoilou,health,CLSC,Québec,"1405, chemin de la Canardière",G1J 0A7,418 529-2572,https://www.ciusss-capitalenationale.gouv.qc.ca,CLSC – Limoilou.,false,https://www.ciusss-capitalenationale.gouv.qc.ca,NOUVEAU,
new-clsc-qc-stefoy,CLSC de Sainte-Foy–Sillery,health,CLSC,Québec,"3108, chemin Sainte-Foy",G1X 1P8,418 651-2572,https://www.ciusss-capitalenationale.gouv.qc.ca,CLSC – Sainte-Foy / Sillery.,false,https://www.ciusss-capitalenationale.gouv.qc.ca,DOUBLON (qbc-qbc1491),
new-clsc-qc-rivieres,CLSC des Rivières,health,CLSC,Québec,"900, boul. Wilfrid-Hamel",G1M 2R9,418 688-9212,https://www.ciusss-capitalenationale.gouv.qc.ca,CLSC – secteur Les Rivières.,false,https://www.ciusss-capitalenationale.gouv.qc.ca,DOUBLON (qbc-qbc1611),
new-clsc-qc-jc,CLSC de la Jacques-Cartier (Loretteville),health,CLSC,Québec,"11999, rue de l'Hôpital, porte A",G2A 2T7,418 843-2572,https://www.ciusss-capitalenationale.gouv.qc.ca,CLSC – Loretteville / Jacques-Cartier.,false,https://www.ciusss-capitalenationale.gouv.qc.ca,NOUVEAU,
new-clsc-qc-source-n,CLSC La Source Nord,health,CLSC,Québec,"791, rue de Sherwood",G2N 1X7,418 849-2572,https://www.ciusss-capitalenationale.gouv.qc.ca,CLSC – Charlesbourg/Beauport.,false,https://www.ciusss-capitalenationale.gouv.qc.ca,NOUVEAU,
new-clsc-levis,CLSC de Lévis,health,CLSC,Lévis,"99, rue du Mont-Marie",G6V 5C2,418 835-3400,https://www.cisss-ca.gouv.qc.ca,CLSC – secteur Lévis.,false,https://www.cisss-ca.gouv.qc.ca,NOUVEAU,
new-clsc-st-romuald,CLSC de Saint-Romuald,health,CLSC,Lévis,"1205, boul. Guillaume-Couture, bureau 200",G6W 0J6,418 380-8991,https://www.cisss-ca.gouv.qc.ca,CLSC – Saint-Romuald.,false,https://www.cisss-ca.gouv.qc.ca,NOUVEAU,
new-clsc-sher-king,CLSC King Est,health,CLSC,Sherbrooke,"1200, rue King Est",J1G 1E4,819 780-2222,https://www.santeestrie.qc.ca,CLSC – Sherbrooke King Est.,false,https://www.santeestrie.qc.ca,NOUVEAU,
new-clsc-sher-camirand,CLSC Camirand,health,CLSC,Sherbrooke,"50, rue Camirand",J1H 4J5,819 780-2222,https://www.santeestrie.qc.ca,CLSC – sans rendez-vous samedi/dimanche AM.,false,https://www.santeestrie.qc.ca,NOUVEAU,
new-clsc-sher-belvedere,CLSC et CSA Belvédère,health,CLSC,Sherbrooke,"1095, rue Belvédère Sud",J1H 4C3,819 780-2222,https://www.santeestrie.qc.ca,CLSC + Centre de services ambulatoires Belvédère.,false,https://www.santeestrie.qc.ca,NOUVEAU,
new-clsc-tr-stjoseph,CLSC Saint-Joseph,health,CLSC,Trois-Rivières,"731, rue Sainte-Julie",G9A 1Y1,819 370-2100,https://www.ciusssmcq.ca,CLSC principal de Trois-Rivières.,false,https://www.ciusssmcq.ca,DOUBLON (qc-tro-he001),
new-clsc-tr-stegen,CLSC Sainte-Geneviève,health,CLSC,Trois-Rivières,"620, rue Sainte-Geneviève",G9A 3W7,819 370-2200,https://www.ciusssmcq.ca,CLSC – poste 46100.,false,https://www.ciusssmcq.ca,DOUBLON (qc-tro-he032),
new-clsc-tr-chamberland,CLSC Chanoine-Chamberland,health,CLSC,Trois-Rivières,,,819 379-2317,https://www.ciusssmcq.ca,CLSC Trois-Rivières.,false,https://www.ciusssmcq.ca,NOUVEAU,Adresse à confirmer
new-clsc-chicoutimi,CLSC de Chicoutimi,health,CLSC,Saguenay,"80, rue Racine Est",G7H 1P6,418 543-2221,https://santesaglac.gouv.qc.ca,CLSC Chicoutimi – santé mentale améliorée. FR/EN.,false,https://santesaglac.gouv.qc.ca,NOUVEAU,
new-clsc-jonquiere,CLSC de Jonquière,health,CLSC,Saguenay,"3667, boul. Harvey",G7X 3A9,418 695-2572,https://santesaglac.gouv.qc.ca,CLSC Jonquière.,false,https://santesaglac.gouv.qc.ca,NOUVEAU,
new-clsc-sj-cv,CLSC du Centre-ville de Saint-Jérôme,health,CLSC,Saint-Jérôme,"430, rue Labelle",J7Z 5L3,450 431-7808,https://www.santelaurentides.gouv.qc.ca,CLSC centre-ville Saint-Jérôme.,false,https://www.santelaurentides.gouv.qc.ca/nous-joindre/clsc/,NOUVEAU,
new-clsc-sj-laf,CLSC Lafontaine,health,CLSC,Saint-Jérôme,"1000, rue Labelle",J7Z 5N6,450 431-8001,https://www.santelaurentides.gouv.qc.ca,CLSC Lafontaine.,false,https://www.santelaurentides.gouv.qc.ca/nous-joindre/clsc/,NOUVEAU,
new-clsc-lamater-seig,CLSC Lamater – des Seigneurs,health,CLSC,Terrebonne,"1317, boul. des Seigneurs",J6W 1T5,450 471-2881,https://www.cisss-lanaudiere.gouv.qc.ca,"CLSC dessert Terrebonne, Mascouche, Lachenaie, La Plaine.",false,https://www.cisss-lanaudiere.gouv.qc.ca,NOUVEAU,
new-clsc-lamater-piniere,CLSC Lamater – de la Pinière,health,CLSC,Terrebonne,"3195, boul. de la Pinière, bureau 107",J6X 4R4,450 471-2885,https://www.cisss-lanaudiere.gouv.qc.ca,Prélèvements/vaccination – ex-PSL Mascouche.,false,https://www.cisss-lanaudiere.gouv.qc.ca,NOUVEAU,
new-clsc-meilleur,CLSC Meilleur,health,CLSC,Repentigny,,,,https://www.cisss-lanaudiere.gouv.qc.ca,"CLSC dessert Repentigny, L'Assomption, Charlemagne, Lavaltrie.",false,https://www.cisss-lanaudiere.gouv.qc.ca,NOUVEAU,Téléphone à confirmer / Adresse à confirmer
new-clsc-maskoutains,CLSC des Maskoutains,health,CLSC,Saint-Hyacinthe,"3000, av. Boullé",J2S 1H9,450 778-2572,https://www.santemonteregie.qc.ca,CLSC principal Saint-Hyacinthe.,false,https://www.santemonteregie.qc.ca,NOUVEAU,
new-clsc-maskoutains-cv,CLSC des Maskoutains – Centre-ville,health,CLSC,Saint-Hyacinthe,"1225, rue des Cascades, 2e étage",J2S 3H2,450 778-2572,https://www.santemonteregie.qc.ca,Point de service centre-ville.,false,https://www.santemonteregie.qc.ca,NOUVEAU,
new-clsc-cowansville,CLSC de Cowansville,health,CLSC,Cowansville,"397, rue de la Rivière",J2K 1N4,1 877 644-4545,https://www.santeestrie.qc.ca,CLSC Brome-Missisquoi (CIUSSS Estrie).,false,https://www.santeestrie.qc.ca,NOUVEAU,
new-clsc-rimouski,CLSC de Rimouski,health,CLSC,Rimouski,"165, rue des Gouverneurs",G5L 7R2,418 724-7204,https://www.cisss-bsl.gouv.qc.ca,CLSC principal Rimouski.,false,https://www.cisss-bsl.gouv.qc.ca/points-de-services/clsc-de-rimouski,NOUVEAU,
new-clsc-rimouski-135,CLSC de Rimouski – Le 135 (soutien à domicile),health,CLSC,Rimouski,"135, rue des Gouverneurs",G5L 7R2,418 722-1954,https://www.cisss-bsl.gouv.qc.ca,Soutien à domicile.,false,https://www.cisss-bsl.gouv.qc.ca/points-de-services/clsc-de-rimouski-le-135,NOUVEAU,
new-clsc-rouyn,CLSC de Rouyn-Noranda,health,CLSC,Rouyn-Noranda,"1, 9e Rue",J9X 2A9,819 764-3264,https://www.cisss-at.gouv.qc.ca,Siège du CISSS Abitibi-Témiscamingue + CLSC.,false,https://www.cisss-at.gouv.qc.ca,NOUVEAU,
new-clsc-drummond,CLSC Drummond,health,CLSC,Drummondville,"350, rue Saint-Jean",J2B 5L4,819 474-2572,https://www.ciusssmcq.ca,CLSC principal Drummondville. L–V 8h-20h sur RDV.,false,https://www.ciusssmcq.ca,DOUBLON (qc-dru-he010),
new-clsc-suzor,CLSC Suzor-Côté,health,CLSC,Victoriaville,"100, rue de l'Ermitage",G6P 9N2,819 758-7281,https://www.ciusssmcq.ca,CLSC principal Victoriaville.,false,https://www.ciusssmcq.ca,DOUBLON (qc-vic-he008),
new-clsc-vallee-forts,CLSC de la Vallée-des-Forts,health,CLSC,Saint-Jean-sur-Richelieu,"978, boul. du Séminaire Nord",J3A 1E5,450 358-2572,https://www.santemonteregie.qc.ca,CLSC principal Saint-Jean-sur-Richelieu.,false,https://www.santemonteregie.qc.ca,NOUVEAU,
new-clsc-richelieu,CLSC du Richelieu (Chambly/Richelieu),health,CLSC,Chambly,"300, chemin de Marieville",J3L 3V8,450 658-7561,https://www.santemonteregie.qc.ca,CLSC + GMF Richelieu-Saint-Césaire.,false,https://www.santemonteregie.qc.ca,NOUVEAU,
new-fadoq-mauricie,FADOQ – Région Mauricie,seniors,FADOQ régionale,Trois-Rivières,"3330, rue Bellefeuille",G9A 3Z3,819 374-5774,https://www.fadoq.ca/mauricie,Couvre Mauricie incluant Trois-Rivières et Cap-de-la-Madeleine.,false,https://www.fadoq.ca/mauricie/,NOUVEAU,
new-fadoq-estrie,FADOQ – Région Estrie,seniors,FADOQ régionale,Sherbrooke,"2050, rue King Ouest, bureau 020",J1J 2E8,819 566-7748,https://www.fadoq.ca/estrie,Bureau régional FADOQ Estrie.,false,https://www.fadoq.ca/estrie,NOUVEAU,
new-fadoq-qc-cha,FADOQ – Régions Québec et Chaudière-Appalaches,seniors,FADOQ régionale,Québec,"1098, route de l'Église",G1V 3V9,418 650-3552,https://www.fadoq-quebec.qc.ca,Couvre Québec et Chaudière-Appalaches.,false,https://www.fadoq-quebec.qc.ca,DOUBLON (qc-qc-seniors-004),
new-fadoq-saglac,FADOQ – Région Saguenay–Lac-Saint-Jean–Ungava,seniors,FADOQ régionale,Alma,"414, rue Collard Ouest",G8B 1N2,418 668-4795,https://www.fadoq.ca/saguenay-lac-saint-jean-ungava,Bureau régional FADOQ SLSJ.,false,https://www.fadoq.ca/saguenay-lac-saint-jean-ungava,NOUVEAU,
new-fadoq-bsl,FADOQ – Région Bas-Saint-Laurent,seniors,FADOQ régionale,Pohénégamook,"474, rue Des Étudiants",G0L 1J0,418 893-2111,https://www.fadoq.ca/bas-st-laurent,Bureau principal Pohénégamook + point de service Rivière-du-Loup.,false,https://www.fadoq.ca/bas-st-laurent/,NOUVEAU,
new-fadoq-at,FADOQ – Région Abitibi-Témiscamingue,seniors,FADOQ régionale,Ville-Marie,"7C, rue Des Oblats Nord",J9V 1H9,819 629-3113,https://www.fadoq.ca/abitibi-temiscamingue,Bureau régional FADOQ AT.,false,https://www.fadoq.ca/abitibi-temiscamingue,NOUVEAU,
new-fadoq-lan,FADOQ – Région Lanaudière,seniors,FADOQ régionale,Joliette,"5, rue Saint-Barthélemy Nord",J6E 5M8,450 759-7422,https://www.fadoq.ca/lanaudiere,Sans frais 1 800-544-9058.,false,https://www.fadoq.ca/lanaudiere,DOUBLON (qc-jlt-s009),
new-fadoq-laur,FADOQ – Région des Laurentides,seniors,FADOQ régionale,Saint-Jérôme,,,819 429-5858,https://www.fadoq.ca/laurentides,Sans frais 1-800-828-3344.,false,https://www.fadoq.ca/laurentides/,NOUVEAU,Adresse à confirmer
new-fadoq-cdq,FADOQ – Région Centre-du-Québec,seniors,FADOQ régionale,Victoriaville,"40, rue Alice, bureau 205",G6P 3H4,819 752-7876,https://www.fadoq.ca/centre-du-quebec,Bureau régional Centre-du-Québec.,false,https://www.fadoq.ca/centre-du-quebec/,NOUVEAU,
new-omh-sherbrooke,Office Municipal d'Habitation de Sherbrooke (OMHS),housing,OMH,Sherbrooke,"22, rue William-Ives, bureau 100",J1E 2C2,819 566-7868,https://omhsherbrooke.qc.ca,"HLM, supplément au loyer.",false,https://omhsherbrooke.qc.ca,NOUVEAU,
new-omh-tr,Office Municipal d'Habitation de Trois-Rivières (OMHTR),housing,OMH,Trois-Rivières,"660, rue Hertel",G9A 1G8,819 378-5438,http://www.omhtr.ca,~1 800 logements répartis dans ~50 ensembles immobiliers.,false,http://www.omhtr.ca,DOUBLON (qc-tro-hs006),
