No. dossier,Nom organisme / programme,Situé à,Description,Tél. de bureau,Site internet / Courriel
CQE0178,Villas des Rivières,Bedford,Résidence privée pour aînés (RPA) autonomes et en légère perte d'autonomie. Capacité d'accueil 30 logements,450-263-2143,
CQE1564,"Bedford (Canton), Hôtel de ville",Bedford (Canton),"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-248-7576,
CQE1643,Centre d'action bénévole de Bedford (Canton) et environs,Bedford (Canton),"Promotion et valorisation du bénévolat, soutien à la communauté, épicerie-partage, épicerie-partage de Noël, dépannage alimentaire, aide pour remplir des formulaires, aide à la préparation des documents",450-248-2473,
CQE1566,"Bolton-Ouest, Hôtel de ville",Bolton-Ouest,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-242-2704,
CQE1567,"Brigham, Hôtel de ville",Brigham,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-263-5942,
CQE1598,"Brome, Hôtel de ville",Brome,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-243-0489,
CQE1682,Association PANDA Brome-Missisquoi,Brome-Missisquoi (MRC),"Soutien, information et orientation des adultes, enfants et parents d'enfants vivant avec un trouble du déficit de l'attention (TDAH) ou un trouble associé, promotion des droits de ces personnes",450-248-3737,
CQE1763,"Chevaliers de Colomb du Québec, MRC Brome-Missisquoi",Brome-Missisquoi (MRC),Aide aux plus démunis. Répertoire des conseils des Chevaliers de Colomb http://www.chevaliersdecolomb.com/recherche_regions.html Conseils des Chevaliers de Colomb dans la municipalité de Cowansville,,
CQE1760,"Diocèse de Saint-Hyacinthe, Région Sud",Brome-Missisquoi (MRC),"Services pastoraux et célébrations eucharistiques régulières Région Sud, paroisses : Secteur 1 (MRC Haut-Richelieu) Secteur 2 Unité pastorale des régions 450-248-3347 / Saint-Damien (Bedford) 450-2...",450-773-8581,
CQE0099,Nourri-Source Brome-Missisquoi Montérégie,Brome-Missisquoi (MRC),"Mouvement d'entraide pour l'allaitement maternel, composé de marraines d'allaitement formées au soutien et à l'accompagnement des familles, écoute active, encouragement et conseils techniques",514-425-0805,
CQE1588,"Bromont, Hôtel de ville",Bromont,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-534-2021,
CQE1603,Centre d'action bénévole Marguerite-Dubois,Bromont,"Soutien aux personnes et familles à faible revenu, personnes en perte d'autonomie ou touchées par la maladie, aînés, accompagnement et éducation des gens de la communauté locale vivant une problématique",450-534-2825,
CQE1011,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Bromont,Bromont,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé, authentification de la carte d'assurance maladie",450-375-1692 / Guichet d'accès médecin de famille 450-375-1442 poste 66288,
CQE1649,Équipe d'accompagnement Au Diapason,Bromont,"Services aux personnes atteintes de cancer nouvellement diagnostiquées, en traitement ou non, en fin de vie ainsi qu'à leurs proches, accompagnement, information, éducation, groupes de soutien",450-534-2002 poste 229,
CQE1600,Fondation au Diapason soins palliatifs (La),Bromont,"Maison de soins palliatifs spécialisés, accompagnement psychologique et spirituel aux patients et aux familles des territoires de Brome-Missisquoi et de la Haute-Yamaska, service complet d'hébergement",450-534-2002,
CQE1660,Jardin communautaire écologique les Coccinelles de Bromont,Bromont,"Accès à une parcelle de jardin adaptée aux besoins et capacités de chacun, promotion du jardinage écologique, outils nécessaires, compost, parcelle collective, cultivée bénévolement offrant des dons",450-534-2181,
CQE1661,Paroisse Saint-François-Xavier,Bromont,"Services religieux et communautaires, pastorale et catéchèse",450-534-2181,
CQE1610,Association Action-plus Brome-Missisquoi (L'),Cowansville,"Promotion de la défense des droits sociaux, aide auprès des personnes assistées sociales ou vivant sous le seuil de la pauvreté, sensibilisation et information de la population concernant la pauvreté",Défense 450-293-2123 / Activités 450-558-0959,
CQE1595,"Association coopérative d'économie familiale Montérégie-Est, Point de service de Cowansville",Cowansville,"Sensibilisation et information en matière de budget, d'endettement, de consommation et de logement, consultation budgétaire gratuite, cours et aide sur le budget et l'endettement, défense des droits",450-305-0440,
CQE1593,Association d'entraide en santé mentale de Brome-Missisquoi l'Éveil,Cowansville,"Maintien et réinsertion sociale dans la communauté des personnes qui ont des difficultés d'ordre émotionnel ou des problèmes liés à la santé mentale, suivi individuel et soutien adapté aux besoins",450-263-6240 poste 0,
CQE1601,Association de parents de personnes handicapées Brome-Missisquoi,Cowansville,"Regroupement des parents de personnes (dès 6 ans) vivant avec une déficience intellectuelle (DI) ou un trouble du spectre de l'autisme (TSA), activités de loisirs, d'apprentissage et de socialisation",450-266-1566,
CQE1570,Association des personnes handicapées physiques de Brome-Missisquoi,Cowansville,"Soutien aux personnes adulte de la MRC de Brome Missisquoi vivant avec un handicap physique ou sensoriel adulte, sensibilisation de la population, des instances publiques, des commerçants",450-266-4744,
CQE0089,"Association féministe d'éducation et d'action sociale, Association locale secteur de Cowansville, Secrétariat régional Estrie",Cowansville,"Promotion des droits des femmes et amélioration de la société par l'éducation et l'action sociale, soutien à l'obtention d'identité propre, statut égal, liberté de choix et autonomie des femmes",450-525-4155,
CQE1663,"Avenue profession'elle, Point de service Cowansville",Cowansville,"Intégration socioprofessionnelle des femmes en les soutenant dans l'apprentissage et la pratique d'un métier à prédominance masculine, démarche d'orientation, soutien et accompagnement à la recherche",450-266-0993,
CQE1633,"Canada, Service Canada, Centre Service Canada Cowansville",Cowansville,"Guichet gouvernemental unique pour un accès à une variété de programmes et de services, aide à la localisation et au dépôt de demandes pour les programmes gouvernementaux Services Canadiens",,
CQE1639,"Carrefour jeunesse-emploi des Cantons de l'Est, Point de service Cowansville",Cowansville,"Aide à l'intégration professionnelle et sociale des jeunes adultes, services avec ou sans rendez-vous, emploi : curriculum vitæ, lettre de présentation, entrevue, marché caché de l'emploi",450-266-0993,
CQE1625,Cellule Jeunes et familles de Brome-Missisquoi,Cowansville,"Centre d'aide favorisant l'accès aux ressources et l'autonomie, promotion de saines habitudes de vie et prévention des dépendances, accueil, écoute, information, soutien téléphonique, aide juridique",450-260-1823,
CQE1620,Centre d'action bénévole de Cowansville,Cowansville,"Promotion et développement des organismes bénévoles de la région, repas communautaire, possibilité de bénévolat, services aux organismes (offre de bénévoles), carrefour d'information aux aînés",450-263-3758,
CQE1619,"Centre d'action bénévole de Cowansville, Dépannage alimentaire",Cowansville,Collecte et distribution de denrées alimentaires,450-263-3758,
CQE1621,"Centre d'action bénévole de Cowansville, Volet transport",Cowansville,"Aide au maintien à domicile des aînés, accompagnement transport pour les commissions, transport médical (traitements d'hémodialyse, de physiothérapie, de cancer)",450-263-3758,
CQE0044,Centre de la petite enfance Le papillon bleu,Cowansville,"Services de garde pour enfants, intégration des enfants ayant des besoins particuliers, services de garde, technicienne en éducation spécialisée dans chacun des établissements, conseillère pédagogique",450-263-3394,
CQE0048,Centre de la petite enfance Le Zèbre carotté,Cowansville,"Services de garde pour enfants (0-5 ans), services de garde (75 places)",450-266-4759,
CQE0046,Centre de la petite enfance Les Tisserands,Cowansville,"Services de garde pour enfants (0-5 ans), services de garde (78 places)",450-266-4066,
CQE0924,"Centre de main d'œuvre Opex, Point de service Cowansville",Cowansville,"Services de recherche d'emploi spécialisé et gratuit pour personnes adultes judiciarisées, recherche d'emploi : curriculum vitæ, lettre de présentation, entrevue, visites promotionnelles",450-266-1866,
CQE1591,Centre de pédiatrie sociale Main dans la main,Cowansville,"Soutien aux enfants et aux familles à risque ou en situation de vulnérabilité pour assurer le mieux-être et le développement optimal des enfants, dans le respect de leurs droits et de leurs intérêts",450-260-1414,
CQE1802,"Centre de services scolaire du Val-des-Cerfs, Campus Brome-Missisquoi",Cowansville,Établissement d'enseignement permettant à une clientèle adulte de poursuivre ou de compléter une formation scolaire de niveau secondaire en conformité avec les programmes du ministère de l'Éducation,450-263-7901,
CQE1466,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Cowansville-du-Sud,Cowansville,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé",450-266-4304 / Centrale de rendez-vous 450-266-4304 poste 2,
CQE1667,"Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Cowansville-du-Sud, Centre de réadaptation en dépendance de Cowansville",Cowansville,"Services spécialisés de réadaptation et de réinsertion sociale pour jeunes et adultes aux prises avec une problématique de dépendance à l'alcool, aux drogues, aux jeux de hasard et d'argent",450-266-4304,
CQE1467,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Cowansville-Larouche,Cowansville,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé, aide au ménage, béquilles",Soutien à domicile 450-266-4342 poste 2 / Guichet d'accès médecin de famille 450-266-4342 poste 35695,
CQE0129,Centre local de développement de Brome-Missisquoi,Cowansville,"Accompagnement et soutien technique ou financier auprès des entrepreneurs potentiels ou déjà en activité, individuels ou collectifs (incluant les entreprises d'économie sociale)",450-266-4928,
CQE0162,"Cercles de Fermières du Québec, Cercle de Fermières Cowansville, Fédération 18 - Montérégie",Cowansville,"Cercle de Fermières dont les membres sont vouées à l'amélioration des conditions de vie de la femme et la famille ainsi qu'à la transmission du patrimoine culturel et artisanal, partage des connaissances",,
CQE0124,"Chevaliers de Colomb de Cowansville, Conseil 2821",Cowansville,"Mouvement catholique laïque et masculin assurant la promotion d'oeuvres éducatives, charitables, religieuses et sociales, paniers de Noël, guignolée, bingo, location de salle",450-263-5080,
CQE0143,Club Optimiste de Brome-Missisquoi,Cowansville,"Projets de service communautaire visant à inspirer le meilleur chez les jeunes, organisation d'activités de financement et redistribution aux écoles et organismes jeunesse, activités familiales",450-243-0720,
CQE0133,"Clubs Lions du Québec, Cowansville - 014883, Région 54 Sud",Cowansville,Répertoire des clubs Lions Acton Vale - 14877,450-546-3659,
CQE1631,Collective par et pour elle (La),Cowansville,"Soutien aux femmes et à leurs enfants, écoute, soutien et références, éducation populaire, développement communautaire et actions collectives, friperie : vêtements pour femmes et enfants, aide financière",450-263-1028,
CQE1698,Comité des usagers du CSSS La Pommeraie,Cowansville,"Promotion et défense des droits et intérêts des usagers afin de contribuer au maintien et à l'amélioration de la qualité des services et des conditions de vie de la clientèle, renseignements",450-266-4342 poste 35590 option 5 poste 35590,
CQE1569,Comité popote roulante de Cowansville,Cowansville,"Livraison à domicile de repas complets chauds, équilibrés et congelés",450-263-9338,
CQE1244,"Commission scolaire Eastern Townships, Centre de formation professionnelle Campus Brome-Missisquoi",Cowansville,Établissement d'enseignement offrant des programmes de formation dans des métiers menant à l'obtention d'un diplôme d'études professionnelles (DEP) ou d'une attestation d'études professionnelles (AEP),450-263-7901,
CQE1233,"Commission scolaire Eastern Townships, Centre de formation professionnelle Campus Brome-Missisquoi, Brome-Missisquoi Campus",Cowansville,Établissement d'enseignement permettant à une clientèle adulte de poursuivre ou de compléter une formation scolaire de niveau secondaire en conformité avec les programmes du ministère de l'Éducation,450-263-7901,
CQE1651,Conseil d'alphabétisation de Yamaska,Cowansville,"Amélioration des capacités de lecture, d'écriture et de calcul des adultes âgés de plus de 16 ans, services d'alphabétisation en anglais, tutorat individuel en lecture, écriture et mathématique",450-263-7503,
CQE1630,Coopérative de soutien à domicile du Pays des Vergers,Cowansville,"Soutien à domicile : entretien ménager léger et travaux lourds, soins à la personne : assistance au lever, soins d'hygiène et habillement et autres, préparation des repas, services aux entreprise",450-266-5484,
CQE1575,"Cowansville, Hôtel de ville",Cowansville,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-263-0141 / sécurité incendie 450-263-3551,
CQE1597,"Cowansville, Hôtel de ville, Frigo vert (Le)",Cowansville,"Frigos communautaires visant la réduction du gaspillage alimentaire et rendant accessible fruits et légumes. 203, rue Principale, 209, rue Sainte-Thérèse",,
CQE1632,"Cowansville, Hôtel de ville, Loisirs",Cowansville,"Organisation des activités de loisirs, centre aquatique : cours de natation et bain libre, pavillon des sports, patinoires et glissoires extérieures, ski de fond, location de salles, camp de jour",450-263-6464,
CQE0092,"Croix-Rouge canadienne, Bureau administratif - Montréal, Section Brome-Missisquoi",Cowansville,"Services humanitaires et secours d'urgence lors de catastrophes naturelles ou de conflits armés, services d'urgence aux sinistrés, services humanitaires internationaux, programmes de sécurité aquatique",450-522-2082,
CQE0008,Équipe de natation de Cowansville,Cowansville,"Promotion et développement de la natation dans la région de Cowansville, cours de natation, compétitions, entraînement, formation de maîtres-nageurs, Piscines du club, Centre aquatique Cowansville",418-263-6464 poste 426,
CQE0166,"FADOQ, Club de l'âge d'or de Cowansville",Cowansville,"Club social pour aînés affilié à la Fédération des clubs de l'âge d'or du Québec (FADOQ), réunions d'information, représentation, défense des droits et référence aux organismes partenaires, rabais",450-263-7470,
CQE0165,"Filles d'Isabelle, Cercle Cowansville",Cowansville,"Organisation charitable composée de femmes catholiques assurant dans sa paroisse la promotion d'oeuvres éducatives, charitables, religieuses et sociales. Comptoir familial : vêtements, chaussures, vaiss",450-293-0962,
CQE1611,Fondation Butters,Cowansville,"Soutien et services aux parents d'enfants ayant une déficience intellectuelle, investissement dans des projets de recherche, soutien financier pour des services destinés aux parents et aux membres d",450-263-4123,
CQE0992,Horizon pour Elle,Cowansville,"Maison d'aide et d'hébergement pour femmes victimes de violence conjugale avec ou sans enfant, écoute téléphonique, hébergement, suivi individuel ou de groupe, suivi mère-enfants (conséquences vio)",450-263-5046,
CQE1629,"Le Regroupement des Auberges du cœur du Québec, Espace vivant Living room",Cowansville,"Maison d'hébergement pour les adolescents vivant des difficultés, hébergement de 90 jours maximum, dépannage d'urgence 48 heures, écoute, aide à la réinsertion familiale et sociale, appartements",450-955-0622,
CQE0200,"Légion royale canadienne, Filiale 06-099, Cowansville",Cowansville,"Aide aux vétérans, aux membres en service actif des Forces armées canadiennes et de la Gendarmerie royale du Canada et leur famille, défense de leurs droits et intérêts, promotion du Souvenir, camp",450-263-3543,
CQE1602,Maison de la famille de Cowansville Région,Cowansville,"Lieu de rencontre et de vie communautaire pour les familles, accueil, information et référence, halte-garderie et halte-répit (18 mois-5 ans), dépannage bambin : location de sièges d'auto, poussett",450-815-1110,
CQE1624,Maison des jeunes de Cowansville le Trait d'union,Cowansville,"Lieu de rencontre animé pour et par des jeunes qui, au contact d'adultes significatifs, auront l'opportunité de devenir des citoyens actifs, critiques et responsables, écoute, soutien et référence",450-263-9215,
CQE1562,Municipalité régionale de comté de Brome-Missisquoi,Cowansville,"Mise en commun des services pour le regroupement des 21 municipalités locales. Municipalités de la MRC (voir dossiers municipaux) : Abercorn, Bedford, Bedford (Canton), Bolton-Ouest, Brigham, Brome",450-266-4900,
CQE1745,"Municipalité régionale de comté de Brome-Missisquoi, Service de transport adapté et collectif",Cowansville,"Transport adapté pour les personnes handicapées et leurs accompagnateurs, transport collectif pour les personnes ambulantes, minibus, taxi régulier ou taxi accessible en fonction des besoins",450-263-7010,
CQE0117,"Nourri-Source Montérégie, Brome-Missisquoi",Cowansville,"Mouvement d'entraide pour l'allaitement maternel, composé de marraines d'allaitement formées au soutien et à l'accompagnement des familles, écoute active, encouragement et conseils techniques",,
GBY0274,"OBOULO Granby, Point de service de Cowansville",Cowansville,"Soutien aux chercheurs d'emploi à intégrer le marché du travail, service individuel ou de groupe en fonction des besoins de la clientèle, création et correction de curriculum vitae et lettres de mot",450-266-0888,
CQE0294,Office d'habitation Brome-Missisquoi,Cowansville,"Procurer aux ménages à faible revenu des logements de qualité dont le loyer, les conditions et l'environnement tiennent compte de leur réalité socio-économique, service d'aide à la recherche de logement",450-263-2143 / Service d'aide à la recherche de logement 450-830-5453,
CQE1650,Parenfant Estrie,Cowansville,"Ressource en supervision de droits d'accès à Cowansville et Granby, soutien aux enfants en permettant les rencontres avec leurs parents dans un contexte non conflictuel, sain et sécuritaire, maintient",Cowansville et Granby 450-263-5000,
CQE1638,"Phare source d'entraide (Le), Point de service Cowansville",Cowansville,"Ressource alternative d'entraide en santé mentale, lieu animé et organisé par et pour des personnes vivant ou ayant vécu des problèmes de santé mentale, information, référence, sensibilisation et formation",450-266-3464,
CQE1655,"Place aux jeunes en région, Secteur de Brome-Missisquoi",Cowansville,"Lutte contre l'exode et aide à la migration, l'établissement et le maintien des jeunes qualifiés dans les régions du Québec, promotion de l'engagement social et de l'intégration professionnelle des j",450-266-0993 poste 326,
CQE1608,Pleins rayons,Cowansville,"Inclusion sociale des jeunes adultes vivant avec un trouble du spectre de l'autisme (TSA) ou une déficience intellectuelle, programme d'intégration socio-professionnelle, ateliers de travail : menu",450-263-5300,
CQE1645,"Québec, Centre communautaire juridique de la Rive-Sud, Bureau d'aide juridique de Cowansville",Cowansville,"Aide juridique aux personnes à faible revenu du territoire. Les services d'aide juridique couverts par le régime sont rendus aux personnes financièrement admissibles, gratuitement ou moyennant le versement",450-263-5458,
CQE1647,"Québec, Ministère de l'Emploi et de la Solidarité sociale, Services Québec - Bureau régional de Cowansville",Cowansville,"Guichet multiservice des services gouvernementaux provinciaux offerts aux individus et aux entreprises offrant un accès simplifié aux services publics, renseignements généraux sur les programmes",450-263-1515,
CQE1677,"Québec, Société de l'assurance automobile du Québec, Centre de services de Cowansville",Cowansville,"Centre de services offrant l'ensemble des services de la Société. Permis de conduire, délivrance de permis de conduire, état dossier de conduite, examen pratique véhicule de promenade, examen prati",450-263-8052,
CQE1574,Regroupement soutien aux aidants de Brome-Missisquoi,Cowansville,"Services aux personnes proches aidantes, soutien psychosocial individuel et de groupe, possibilité de bénévolat. Soutien psychosocial aux aidés, visites d'amitié, soutien téléphonique, rencontres",450-263-4236 / Réservation par téléphone 450-263-4236 poste 5,
CQE1613,Sac à mots,Cowansville,"Aide pour les adultes dans le développement de leurs capacités en lecture, écriture et calcul, alphabétisation : formation de base et ateliers pratique, francisation : formation en français langue seconde",450-266-3766,
CQE1648,"Solidarité ethnique régionale de la Yamaska, Bureau de Cowansville",Cowansville,"Soutien à l'intégration des personnes immigrantes dans les divers milieux de la ville de Cowansville et des régions environnantes, aide à l'installation : informations sur le logement, référencement",450-266-4900 poste 296,
CQE1587,"Dunham, Hôtel de ville",Dunham,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-295-2418 / Service des incendies 450-295-3404 / Sûreté du Québec 450-266-1122,
CQE0118,"Ligue La Leche, Estrie - Granby - Cowansville",Dunham,"Encouragement, information et éducation aux mères allaitant leur bébé, promotion d'une meilleure compréhension de l'allaitement comme élément important d'un développement sain du bébé et de la mère",450-295-3577,
CQE1740,Maison Dunham,Dunham,"Centre de traitement résidentiel pour les personnes souffrant de troubles de santé mentale et de troubles concomitants comme la toxicomanie et l'alcoolisme, programme d'une durée de 180 jours",450-263-3434,
CQE1606,Récolte des générations (La),Dunham,"Promotion des liens intergénérationnels à travers le jardinage, la cuisine, l'art et la culture, jardin collectif et serre, soutien à l'implantation de jardins collectifs et communautaires sur mesur",450-522-5271,
CQE1586,"East Farnham, Hôtel de ville",East Farnham,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, assainissement des eaux usées et autres MRC de Brome-Missisquoi",450-263-4252 / Sûreté du Québec 450-266-1122,
CQE1628,Association de locataires des HLM Farnham,Farnham,"Développement d'interventions sociales et communautaires dans les HLM en collaboration avec les groupes du milieu, représentation des locataires et défense des intérêts, organisation d'activités",450-337-0855,
CQE1656,"Carrefour jeunesse-emploi comtés Iberville et Saint-Jean, Point de service Farnham",Farnham,"Aide à l'intégration professionnelle et sociale des jeunes adultes, orientation scolaire et professionnelle, aide pour le retour aux études, aide à la recherche d'emploi : techniques d'entrevue",450-293-0923,
CQE1622,Centre d'action bénévole de Farnham,Farnham,"Promotion du bénévolat et soutien à la communauté, accompagnement transport, accompagnement-transport mammographie, accompagnement-transport médical, accompagnement, transport et aide aux courses",450-293-3265,
CQE1636,"Centre d'action bénévole de Farnham, Chiffonnier (Le)",Farnham,"Récupération et vente d'articles usagés, tri, nettoyage, reconditionnement ou recyclage d'articles usagés, vêtements pour toute la famille, coins Chic et Taille plus, tricots faits à la main",450-293-3265,
CQE0064,Centre de la petite enfance Le Colibri de Farnham,Farnham,"Services de garde pour enfants (0-5 ans), services de garde (57 places)",450-293-3758,
CQE1469,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Farnham,Farnham,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé",450-293-3622 / Centrale de rendez-vous 450-877-0642,
CQE0171,Club troisième âge de Farnham,Farnham,"Club social pour aînés visant à briser l'isolement, activités récréatives et sportives",450-293-5256,
CQE1572,Comité de popote roulante de Farnham,Farnham,Livraison de repas chauds et de plats congelés à domicile,450-293-8333,
CQE1654,Corporation de développement communautaire de Brome-Missisquoi,Farnham,Regroupement d'organismes communautaires et d'entreprises d'économie sociale dans la MRC de Brome-Missisquoi favorisant leur concertation et participation au développement socioéconomique du milieu,450-293-3344,
CQE1612,Éducation des adultes en français de base,Farnham,"Aide pour les adultes dans le développement de leurs capacités en lecture, écriture et calcul, possibilité de bénévolat, cours d'alphabétisation, amélioration du français et de calcul de base",450-293-7098,
CQE1623,Entrée chez soi Brome-Missisquoi,Farnham,"Ressource alternative en santé mentale dans Brome-Missisquoi, soutien, référence et accompagnement vers l'autonomie des personnes vivant une problématique de santé mentale à travers une approche globale","450-293-1631 / Info logement, Caroline Dolce 450-272-6882 / Hébergement de transition, Cara St-Onge 450-931-0555",
CQE0168,"FADOQ, Club de l'âge d'or de Farnham",Farnham,"Club social pour aînés affilié à la Fédération des clubs de l'âge d'or du Québec (FADOQ), réunions d'information, représentation, défense des droits et référence aux organismes partenaires, rabais",450-293-6073,
CQE1585,"Farnham, Hôtel de ville",Farnham,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-293-3178 / Service de sécurité incendie 450-293-5126,
CQE1615,Fondation les Foyers Farnham,Farnham,"Amélioration de la qualité de vie et du mieux-être des résidents du Centre d'hébergement de Farnham et du Centre d'hébergement Gérard-Harbec, activités et campagnes de financement, administration",450-293-2771,
CQE0191,Maison de la famille Farnham,Farnham,"Améliore les conditions de vie des jeunes familles par diverses activités d'éducation et de soutien visant l'amélioration des conditions de vie des familles, accueil, écoute et accompagnement",450-293-2279,
CQE1616,Maison des jeunes de Farnham,Farnham,"Lieu de rencontres, d'apprentissages et d'échanges pour les jeunes, travail de milieu : accompagnement, écoute active, sensibilisation et information, ateliers de prévention sur la toxicomanie",450-293-7866,
CQE1637,Phare source d'entraide (Le),Farnham,"Ressource alternative d'entraide en santé mentale, lieu animé et organisé par et pour des personnes vivant ou ayant vécu des problèmes de santé mentale, information, référence, sensibilisation et formation",450-293-0690,
