id,score,categorie,sous_categorie,nom,ville,province,telephone,adresse,site_web,description,horaires,urgent,couvre_province,lat,lng,verifie_le,verifie_par
qc-immo-acceslogis,95,achatImmobilier,Programme accession propriété,AccèsLogis Québec – SHQ,Province de Québec,QC,1-800-463-4315,"Service en ligne / téléphonique — SHQ, 1054 boul. René-Lévesque Est, Québec QC G1R 4Y8",https://www.habitation.gouv.qc.ca,,"Lun-ven 9h-17h. Programmes d'aide à l'achat, financement, services notariaux.",,,46.8043,-71.21568,2026-05-01,csv-validation-2026-05-01
ab-crea-ab,85,achatImmobilier,Services immobiliers,Association des courtiers immobiliers AB,Province de l'Alberta,AB,403-228-6845,N/A — service téléphonique/en ligne,https://www.crea.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,,oui,53.5381,-113.5002,2026-05-01,csv-validation-2026-05-01
sk-cmhc-sk,85,achatImmobilier,Aide à l'achat,SCHL – Saskatchewan,Province de la Saskatchewan,SK,1-800-668-2642,N/A — service téléphonique/en ligne,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,,oui,50.4542,-104.6117,2026-05-01,csv-validation-2026-05-01
on-cmhc-on,85,achatImmobilier,Aide à l'achat,SCHL – Société canadienne d'hypothèques,Province de l'Ontario,ON,1-800-668-2642,N/A — service téléphonique/en ligne,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,,oui,43.6438,-79.39072,2026-05-01,csv-validation-2026-05-01
re-pw3,85,achatImmobilier,Programme gouvernemental,CELIAPP – Compte épargne libre d'impôt 1ère propriété,Province de Québec,QC,1-800-959-8281,,,Épargnez jusqu'à 40 000 $ (8 000 $/an) à l'abri de l'impôt pour acheter votre première maison. Cotisations déductibles du revenu. Disponible dans toutes les banques et caisses.,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,,oui,46.8139,-71.2082,2026-04-24,admin
tableedeschefs-qc,105,alimentation,Récupération alimentaire,La Tablée des Chefs,Saint-Bruno-de-Montarville,QC,450-462-5443,"1390, rue Marie-Victorin, Saint-Bruno-de-Montarville, QC J3V 1J3",https://tableedeschefs.org,Récupération de surplus alimentaires des hôtels/restaurants pour les organismes. Source: tableedeschefs.org.,Lun-ven 9h-16h. Vérifier horaires locaux.,,,45.5219,-73.35384,2026-05-01,csv-validation-2026-05-01
rccq-qc,105,alimentation,Cuisines collectives – réseau,Regroupement des cuisines collectives du Québec (RCCQ),Montréal,QC,514-529-3448,"1605, rue de Champlain, Montréal, QC H2L 2S5",https://rccq.org,Réseau provincial des cuisines collectives. Annuaire de 1 400+ groupes. Source: rccq.org.,Lun-ven 9h-16h. Vérifier horaires locaux.,,,45.4917,-73.5753,2026-05-01,csv-validation-2026-05-01
popotes-roulantes-qc,105,alimentation,Popote roulante – portail provincial,Popotes Roulantes du Québec (PRASAB),Québec,QC,1-877-953-2363,"150, René-Lévesque Est, Québec, QC G1R 2B2",https://popotes.org,Réseau provincial des popotes roulantes : repas livrés à domicile aux aînés et personnes en perte d'autonomie. Source: popotes.org.,Lun-ven 9h-16h. Vérifier horaires locaux.,,,46.8047,-71.21536,2026-05-01,csv-validation-2026-05-01
baq-moisson-montreal,105,alimentation,Banque alimentaire régionale,Moisson Montréal,Montréal,QC,514-344-4494,"6880, ch. de la Côte-de-Liesse, Saint-Laurent, QC H4T 2A1",https://moissonmontreal.org,Plus grande banque alimentaire au Canada. Approvisionne 250+ organismes communautaires de Montréal. Source: moissonmontreal.org.,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,45.5109,-73.55994,2026-05-01,csv-validation-2026-05-01
baq-moisson-rive-sud,105,alimentation,Banque alimentaire régionale,Moisson Rive-Sud,Saint-Hubert,QC,450-462-9982,"5500, rue Rideau, Saint-Hubert, QC J3Y 5K6",https://moissonrivesud.org,Réseau d'aide alimentaire de la Rive-Sud de Montréal. Source: moissonrivesud.org.,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,45.4904,-73.42396,2026-05-01,csv-validation-2026-05-01
maisondupere-mtl,105,alimentation,Mission – aide d'urgence,Maison du Père,Montréal,QC,514-845-0168,"550, boul. René-Lévesque Est, Montréal, QC H2L 2L3",https://maisondupere.org,Hébergement et repas pour hommes en difficulté de 25 ans et plus. Source: maisondupere.org.,"Dépannage lun-ven 8h30-16h30, sam 9h-12h. Appeler avant de se présenter.",oui,,45.5057,-73.5641,2026-05-01,csv-validation-2026-05-01
missionbonaccueil-mtl,105,alimentation,Mission – aide d'urgence,Mission Bon Accueil (Welcome Hall Mission),Montréal,QC,514-523-5288,"1490, av. de l'Hôtel-de-Ville, Montréal, QC H2X 3K3",https://missionbonaccueil.com,"Aide d'urgence : repas, paniers alimentaires, hébergement. Sans rendez-vous. Source: missionbonaccueil.com.","Dépannage lun-ven 8h30-16h30, sam 9h-12h. Appeler avant de se présenter.",oui,,45.5059,-73.56394,2026-05-01,csv-validation-2026-05-01
missionoldbrewery-mtl,105,alimentation,Mission – aide d'urgence,Mission Old Brewery,Montréal,QC,514-866-6591,"915, rue Clark, Montréal, QC H2Z 1J9",https://missionoldbrewery.ca,"Refuge et services pour personnes en situation d'itinérance, incluant repas chauds. Source: missionoldbrewery.ca.","Dépannage lun-ven 8h30-16h30, sam 9h-12h. Appeler avant de se présenter.",oui,,45.5061,-73.56378,2026-05-01,csv-validation-2026-05-01
resto-plateau-mtl,105,alimentation,Cuisine communautaire,Resto Plateau,Montréal,QC,514-527-5997,"4450, rue Saint-Hubert, Montréal, QC H2J 2X1",https://restoplateau.com,Repas à prix abordable et insertion socioprofessionnelle. Source: restoplateau.com.,Lun-ven 9h-16h. Vérifier horaires locaux.,,,45.5065,-73.56346,2026-05-01,csv-validation-2026-05-01
stmichaels-mtl,105,alimentation,Mission – aide d'urgence,Mission Saint-Michael,Montréal,QC,514-393-1554,"105, rue Anderson, Montréal, QC H2X 3R5",https://stmichaelsmission.ca,"Repas chauds, vêtements et soutien pour personnes vulnérables. Source: stmichaelsmission.ca.","Dépannage lun-ven 8h30-16h30, sam 9h-12h. Appeler avant de se présenter.",oui,,45.5063,-73.56362,2026-05-01,csv-validation-2026-05-01
ba-drummondville,100,alimentation,Banque alimentaire,Banque alimentaire Drummond,Drummondville,QC,819-478-4243,"1655, rue Corriveau Drummondville (Québec) J2C 1Y9",https://www.comptoiralimentairedrummond.com/fr,Banque alimentaire desservant Drummond. Source: bad.qc.ca.,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,45.882,-72.4901,2026-04-29,admin
baq-moisson-kamouraska,100,alimentation,Banque alimentaire régionale,Moisson Kamouraska,La Pocatière,QC,418-856-3325,"608, 4e Avenue Painchaud, La Pocatière, QC G0R 1Z0",https://moissonkamouraska.org,Aide alimentaire pour la région du Kamouraska. Source: moissonkamouraska.org.,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,47.3651,-70.0361,2026-05-01,csv-validation-2026-05-01
baq-moisson-lanaudiere,100,alimentation,Banque alimentaire régionale,Moisson Lanaudière,L'Assomption,QC,450-654-1414,"270, boul. de l'Ange-Gardien Nord, L'Assomption, QC J5W 1R7",https://moissonlanaudiere.org,Réseau d'aide alimentaire de Lanaudière. Source: moissonlanaudiere.org.,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,45.8281,-73.4311,2026-05-01,csv-validation-2026-05-01
qc-ali-moisson-mtl,100,alimentation,Banque alimentaire régionale,Moisson Montréal,Montréal,QC,514-344-4494,"6880, ch. de la Côte-de-Liesse, Saint-Laurent, QC H4T 2A1",https://www.moissonmontreal.org,Plus grande banque alimentaire au Canada. Distribue à 250+ organismes accrédités à Montréal. Source : moissonmontreal.org.,,,,,,2026-04-30,curation-officielle-2026-04-30
qc-ali-cuisines-amitie,100,alimentation,Cuisine collective locale,Les Cuisines collectives du Grand Plateau,Montréal,QC,514-840-1133,"4359, rue Drolet, Montréal, QC H2W 2L7",https://cuisinescollectives.org,Cuisines collectives sur le Plateau-Mont-Royal et alentours. Source : cuisinescollectives.org.,,,,,,2026-04-30,curation-officielle-2026-04-30
qc-ali-moisson-quebec,100,alimentation,Banque alimentaire régionale,Moisson Québec,Québec,QC,418-682-5061,"1450, rue Provinciale, Québec, QC G1N 4H4",https://www.moissonquebec.com,Banque alimentaire pour la région de Québec et Chaudière-Appalaches. 165+ organismes accrédités. Source : moissonquebec.com.,,,,,,2026-04-30,curation-officielle-2026-04-30
baq-moisson-outaouais,100,alimentation,Banque alimentaire régionale,Moisson Outaouais,Gatineau,QC,819-669-2000,"37 rue Bombardier, Gatineau, QC J8R 0G4",https://moissonoutaouais.com,Réseau d'aide alimentaire de l'Outaouais. Source: moissonoutaouais.com.,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,45.4305,-75.7401,2026-05-01,csv-validation-2026-05-01
baq-moisson-laurentides,100,alimentation,Banque alimentaire régionale,Moisson Laurentides,Sainte-Anne-des-Plaines,QC,450-478-7333,"400, boul. Industriel, Sainte-Anne-des-Plaines, QC J5N 0G1",https://moissonlaurentides.org,Réseau d'aide alimentaire des Laurentides. Source: moissonlaurentides.org.,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,45.7512,-73.81618,2026-05-01,csv-validation-2026-05-01
baq-moisson-quebec,100,alimentation,Banque alimentaire régionale,Moisson Québec,Québec,QC,418-682-5061,"915, rue Saint-Vallier Ouest, Québec, QC G1N 1Z2",https://moissonquebec.com,Réseau d'aide alimentaire de la Capitale-Nationale. Source: moissonquebec.com.,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,46.8113,-71.21008,2026-05-01,csv-validation-2026-05-01
baq-moisson-haut-st-francois,100,alimentation,Banque alimentaire régionale,Moisson Haut-Saint-François,East Angus,QC,(819) 451-2781,"275, rue Saint-Jean Ouest, East Angus, QC J0B 1R0",https://moissonhsf.com,Aide alimentaire pour le Haut-Saint-François. Source: moissonhsf.com.,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,45.4937,-71.7518,2026-04-29,admin
baq-moisson-estrie,100,alimentation,Banque alimentaire régionale,Moisson Estrie,Sherbrooke,QC,819-823-7423,"1255, rue Daniel, Sherbrooke, QC J1H 5X3",https://moissonestrie.com,Réseau d'aide alimentaire de l'Estrie. Source: moissonestrie.com.,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,45.4044,-71.89274,2026-05-01,csv-validation-2026-05-01
ab-edmonton-food,95,alimentation,Banque alimentaire,Edmonton Food Bank,Edmonton,AB,780-425-4190,"11508, 120 Street NW, Edmonton AB T5G 2Y2",https://www.edmontonsfoodbank.com,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,53.5661,-113.4951,2026-05-01,csv-validation-2026-05-01
nu-foodbank-nu,95,alimentation,Aide alimentaire,Agvvik Society – Aide alimentaire,Iqaluit,NU,867-979-1277,"Iqaluit, NU X0A 0H0",https://qajuqturvik.ca/fr/nos-programmes,,Lun-ven 9h-16h. Vérifier horaires locaux.,,,63.7481,-68.5161,2026-05-01,csv-validation-2026-05-01
qc-ali-rccq-mtl,95,alimentation,Cuisines collectives régionales,Regroupement des cuisines collectives du Grand Montréal (RCCGM),Montréal,QC,514-529-2900,"1605, boul. de Maisonneuve Est, Montréal, QC H2L 1Y8",https://rccgm.org,Soutien aux cuisines collectives sur l'île de Montréal. Source : rccgm.org.,,,,,,2026-04-30,curation-officielle-2026-04-30
qc-ali-moisson-rive-sud,95,alimentation,Banque alimentaire régionale,Moisson Rive-Sud,Brossard,QC,450-462-2722,"8520, boul. Marie-Victorin, Brossard, QC J4X 1A1",https://moissonrivesud.org,Aide alimentaire en Montérégie-Est. Source : moissonrivesud.org.,,,,,,2026-04-30,curation-officielle-2026-04-30
qc-ali-moisson-outaouais,95,alimentation,Banque alimentaire régionale,Moisson Outaouais,Gatineau,QC,819-776-1701,"39, rue Saint-Antoine, Gatineau, QC J8Y 4S1",https://www.moissonoutaouais.com,Aide alimentaire en Outaouais. Source : moissonoutaouais.com.,,,,,,2026-04-30,curation-officielle-2026-04-30
qc-ali-moisson-estrie,95,alimentation,Banque alimentaire régionale,Moisson Estrie,Sherbrooke,QC,819-823-8324,"55, rue Glendon, Sherbrooke, QC J1H 1V4",https://www.moissonestrie.com,Banque alimentaire pour l'Estrie. Source : moissonestrie.com.,,,,,,2026-04-30,curation-officielle-2026-04-30
ab-calgary-food,95,alimentation,Banque alimentaire,Calgary Food Bank,Calgary,AB,403-253-2055,"5000 11 St SE, Calgary, AB T2H 2Y5",https://www.calgaryfoodbank.com,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,51.0121,-114.0531,2026-05-01,csv-validation-2026-05-01
qc-ali-moisson-laval,95,alimentation,Banque alimentaire régionale,Moisson Laval,Laval,QC,450-686-1878,"2580, boul. Industriel, Laval, QC H7L 4S3",https://www.moissonlaval.com,Banque alimentaire desservant Laval. Source : moissonlaval.com.,,,,,,2026-04-30,curation-officielle-2026-04-30
qc-ali-moisson-mauricie,95,alimentation,Banque alimentaire régionale,Moisson Mauricie / Centre-du-Québec,Trois-Rivières,QC,819-371-7778,"885, boul. Industriel, Trois-Rivières, QC G8T 8R9",https://moissonmcdq.org,Aide alimentaire en Mauricie et Centre-du-Québec. Source : moissonmcdq.org.,,,,,,2026-04-30,curation-officielle-2026-04-30
on-daily-bread,95,alimentation,Banque alimentaire,Daily Bread Food Bank,Toronto,ON,416-203-0050,"191 New Toronto St, Toronto, ON M8V 2E7",https://www.dailybread.ca,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,43.646,-79.38896,2026-05-01,csv-validation-2026-05-01
bc-foodbank-surrey,95,alimentation,Banque alimentaire,Surrey Food Bank,Surrey,BC,604-584-8813,"10665, 135A St, Surrey, BC V3T 4E6",https://www.surreyfoodbank.org,,Service essentiel Colombie-Britannique.,,,49.1881,-122.8531,2026-05-01,csv-validation-2026-05-01
bc-greater-vancouver-food,95,alimentation,Banque alimentaire,Greater Vancouver Food Bank,Vancouver,BC,604-876-3601,"1150 Station St, Vancouver, BC V6A 4C7",https://www.foodbank.bc.ca,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,49.2761,-123.12598,2026-05-01,csv-validation-2026-05-01
on-ottawa-food,95,alimentation,Banque alimentaire,Ottawa Food Bank,Ottawa,ON,613-745-7001,"1317 Bank St, Ottawa, ON K1S 3Y3",https://ottawafoodbank.ca,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,45.4145,-75.6975,2026-05-01,csv-validation-2026-05-01
mb-winnipeg-harvest,95,alimentation,Banque alimentaire,Winnipeg Harvest Food Bank,Winnipeg,MB,204-982-3670,"1085 Winnipeg Ave, Winnipeg, MB R3E 0S2",https://winnipegharvest.org,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,49.8891,-97.1661,2026-05-01,csv-validation-2026-05-01
sk-foodbank-regina,95,alimentation,Banque alimentaire,Regina Food Bank,Regina,SK,306-527-0000,"1440 Scarth St, Regina, SK S4R 2E9",https://www.reginafoodbank.ca,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,50.4751,-104.6131,2026-05-01,csv-validation-2026-05-01
sk-foodbank-saskatoon,95,alimentation,Banque alimentaire,Saskatoon Food Bank,Saskatoon,SK,306-664-6565,"202 Avenue C S, Saskatoon, SK S7M 1N3",https://www.saskatoonfoodbank.org,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,52.1291,-106.6861,2026-05-01,csv-validation-2026-05-01
yt-foodbank-yt,95,alimentation,Banque alimentaire,Whitehorse Food Bank,Whitehorse,YT,867-456-4567,"4165 4 Ave, Whitehorse, YT Y1A 6A2",https://www.whitehorsefoodbank.ca,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,60.7181,-135.0621,2026-05-01,csv-validation-2026-05-01
on-foodbank-on,95,alimentation,Banque alimentaire,Feed Ontario – Réseau banques alimentaires,Province de l'Ontario,ON,905-624-9896,"4370 Dixie Rd, Mississauga, ON L4W 1N7",https://feedontario.ca,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,43.6488,-79.38672,2026-05-01,csv-validation-2026-05-01
on-harvest-table,95,alimentation,Banque alimentaire,Harvest Table Food Bank Hamilton,Hamilton,ON,905-528-6445,"3303 Mainway, Burlington, ON L7M 1A6",https://harvesttable.ca,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,43.2569,-79.87014,2026-05-01,csv-validation-2026-05-01
nt-foodbank-nt,95,alimentation,Banque alimentaire,Yellowknife Food Bank,Yellowknife,NT,867-873-4504,"4908 Franklin Ave, Yellowknife, NT X1A 2N3",https://www.facebook.com/YKFoodBank/,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",,,62.4521,-114.3741,2026-05-01,csv-validation-2026-05-01
emp-cremauricie-tr,105,emploi,Agence de placement,Coopérative de remplacement de la Mauricie – Trois-Rivières,Trois-Rivières,QC,819-370-3660,"3910, boulevard des Forges, bureau 203, Trois-Rivières, QC G8Y 1V7",https://cremauricie.com,Agence de placement en Mauricie (Trois-Rivières). Sans frais : 1 844 870-3660. Source: cremauricie.com.,Lun-ven 8h-17h. Certaines agences ouvertes sam matin.,,,46.3428,-72.54802,2026-05-01,csv-validation-2026-05-01
emp-cremauricie-louiseville,105,emploi,Agence de placement,Coopérative de remplacement de la Mauricie – MRC de Maskinongé,Louiseville,QC,819-370-3660,"760, boulevard Saint-Laurent Est, Louiseville, QC J5V 1H9",https://cremauricie.com,Agence de placement en Mauricie (MRC Maskinongé). Sans frais : 1 844 870-3660. Source: cremauricie.com.,Lun-ven 8h-17h. Certaines agences ouvertes sam matin.,,,46.2571,-72.9391,2026-05-01,csv-validation-2026-05-01
emp-cremauricie-mekinac,105,emploi,Agence de placement,Coopérative de remplacement de la Mauricie – MRC de Mékinac,Sainte-Thècle,QC,819-537-0354,"301, rue Saint-Jacques, local 218-B, Sainte-Thècle, QC G0X 3G0",https://cremauricie.com,Agence de placement en Mauricie (MRC Mékinac). Sans frais : 1 877 536-0354. Source: cremauricie.com.,Lun-ven 8h-17h. Certaines agences ouvertes sam matin.,,,46.8127,-72.5032,2026-05-01,csv-validation-2026-05-01
emp-semo-tetes,105,emploi,Service spécialisé main-d'œuvre,Têtes en l'air – SEMO santé mentale,Montréal,QC,514-484-9889,"5165, rue Sherbrooke Ouest, bureau 480, Montréal, QC H4A 1T6",https://tetesenlair.org,Aide à l'emploi pour personnes vivant avec un trouble mental. Source: tetesenlair.org.,Lun-ven 8h30-16h30.,,,45.5109,-73.55994,2026-05-01,csv-validation-2026-05-01
emp-sit-mauricie-tr,105,emploi,Insertion socioprofessionnelle,SIT Mauricie – Service d'intégration au travail (Trois-Rivières),Trois-Rivières,QC,819-694-0704,"1090, rue De La Vérendrye, Trois-Rivières, QC G9A 2S8",https://www.sitmauricie.com,Service d'intégration au travail pour personnes ayant des contraintes à l'emploi. Bureau Trois-Rivières. Source: sitmauricie.com.,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,,,46.3486,-72.54338,2026-05-01,csv-validation-2026-05-01
emp-sier3r,105,emploi,Insertion socioprofessionnelle,SIER 3R – Service d'insertion en emploi par recyclage,Trois-Rivières,QC,819-693-6777,"1453, rue Radisson, Trois-Rivières, QC G9A 2G4",https://sier3r.com,Organisme d'insertion socioprofessionnelle. Programmes d'insertion en emploi via le recyclage et la récupération à Trois-Rivières. Source: sier3r.com.,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,,,46.347,-72.54466,2026-05-01,csv-validation-2026-05-01
emp-sit-mauricie-louiseville,105,emploi,Insertion socioprofessionnelle,SIT Mauricie – Service d'intégration au travail (Louiseville),Louiseville,QC,819-228-5832,"44, rue Saint-François-Xavier, Louiseville, QC J5V 2B7",https://www.sitmauricie.com,Service d'intégration au travail pour personnes ayant des contraintes à l'emploi. Bureau Louiseville. Source: sitmauricie.com.,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,,,46.2511,-72.94478,2026-05-01,csv-validation-2026-05-01
emp-cremauricie-shawinigan,105,emploi,Agence de placement,Coopérative de remplacement de la Mauricie – Shawinigan,Shawinigan,QC,819-537-0354,"500, avenue Broadway, local 250, Shawinigan, QC G9N 1M3",https://cremauricie.com,Agence de placement en Mauricie (Shawinigan). Sans frais : 1 877 536-0354. Source: cremauricie.com.,Lun-ven 8h-17h. Certaines agences ouvertes sam matin.,,,46.5675,-72.74936,2026-05-01,csv-validation-2026-05-01
emp-cje-trois-rivieres,105,emploi,Carrefour jeunesse-emploi (CJE),Carrefour Jeunesse-Emploi Trois-Rivières / Des Chenaux,Trois-Rivières,QC,819 376-0179,"580, rue Barkoff, suite 300, Trois-Rivières, QC G8T 9T7",https://cjetrdc.com/,"Services emploi/études pour 16-35 ans à Trois-Rivières et MRC Des Chenaux. Source: cjetrdc.com.

Lundi 8:30 – 16:30
Mardi 8:30 – 16:30
Mercredi 8:30 – 16:30
Jeudi 8:30 – 16:30
Vendredi 8:30 – 16:00",Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,,,46.3402,-72.5501,2026-05-01,csv-validation-2026-05-01
emp-cremauricie-chenaux,105,emploi,Agence de placement,Coopérative de remplacement de la Mauricie – MRC des Chenaux,Sainte-Geneviève-de-Batiscan,QC,819-370-3660,"44, chemin de la Rivière-à-Veillet, Sainte-Geneviève-de-Batiscan, QC G0X 2R0",https://cremauricie.com,Agence de placement en Mauricie (MRC des Chenaux). Sans frais : 1 844 870-3660. Source: cremauricie.com.,Lun-ven 8h-17h. Certaines agences ouvertes sam matin.,,,46.5458,-72.40336,2026-05-01,csv-validation-2026-05-01
emp-cje-shawinigan,105,emploi,Carrefour jeunesse-emploi (CJE),Carrefour Jeunesse-Emploi de Shawinigan,Shawinigan,QC,819-537-3358,"432, avenue Willow, C.P. 132, Shawinigan, QC G9N 1X2",https://cjeshawinigan.org,Aide à l'emploi pour 16-35 ans à Shawinigan. Courriel : info@cjeshawinigan.org. Source: cjeshawinigan.org.,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,,,46.5669,-72.74984,2026-05-01,csv-validation-2026-05-01
emp-cje-longueuil,105,emploi,Carrefour jeunesse-emploi (CJE),Carrefour jeunesse-emploi Marguerite-d'Youville,Sainte-Julie,QC,450-922-1717,"350, boul. Saint-Joseph, Sainte-Julie, QC J3E 1W6",https://cjemy.com,Services emploi/études pour 16-35 ans à Marguerite-d'Youville. Source: cjemy.com.,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,,,45.5833,-73.33602,2026-05-01,csv-validation-2026-05-01
emp-sit-mauricie-shawinigan,105,emploi,Insertion socioprofessionnelle,SIT Mauricie – Service d'intégration au travail (Shawinigan),Shawinigan,QC,819-539-6070,"4012, avenue Giroux, Shawinigan, QC G9N 3C7",https://www.sitmauricie.com,Service d'intégration au travail pour personnes ayant des contraintes à l'emploi. Bureau Shawinigan. Source: sitmauricie.com.,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,,,46.5719,-72.74584,2026-05-01,csv-validation-2026-05-01
emp-sit-mauricie-st-tite,105,emploi,Insertion socioprofessionnelle,SIT Mauricie – Service d'intégration au travail (Saint-Tite),Saint-Tite,QC,418-365-5005,"35, rue du Parc Industriel, Saint-Tite, QC G0X 3H0",https://www.sitmauricie.com,Service d'intégration au travail pour personnes ayant des contraintes à l'emploi. Bureau Saint-Tite. Source: sitmauricie.com.,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,,,46.7295,-72.56974,2026-05-01,csv-validation-2026-05-01
