id,categorie,nom,site_actuel,site_corrige,telephone_actuel,telephone_corrige,ville_actuelle,ville_corrigee,province_actuelle,province_corrigee,adresse_actuelle,adresse_corrigee,description_actuelle,description_corrigee,action (garder|corriger|supprimer),notes
maisondupere-mtl,alimentation,Maison du Père,https://maisondupere.org,,514-845-0168,,Montréal,,QC,,"550, boul. René-Lévesque Est, Montréal, QC H2L 2L3",,Hébergement et repas pour hommes en difficulté de 25 ans et plus. Source: maisondupere.org.,,,
missionbonaccueil-mtl,alimentation,Mission Bon Accueil (Welcome Hall Mission),https://missionbonaccueil.com,,514-523-5288,,Montréal,,QC,,"1490, av. de l'Hôtel-de-Ville, Montréal, QC H2X 3K3",,"Aide d'urgence : repas, paniers alimentaires, hébergement. Sans rendez-vous. Source: missionbonaccueil.com.",,,
missionoldbrewery-mtl,alimentation,Mission Old Brewery,https://missionoldbrewery.ca,,514-866-6591,,Montréal,,QC,,"915, rue Clark, Montréal, QC H2Z 1J9",,"Refuge et services pour personnes en situation d'itinérance, incluant repas chauds. Source: missionoldbrewery.ca.",,,
stmichaels-mtl,alimentation,Mission Saint-Michael,https://stmichaelsmission.ca,,514-393-1554,,Montréal,,QC,,"105, rue Anderson, Montréal, QC H2X 3R5",,"Repas chauds, vêtements et soutien pour personnes vulnérables. Source: stmichaelsmission.ca.",,,
qc-ali-moisson-estrie,alimentation,Moisson Estrie,https://www.moissonestrie.com,,819-823-8324,,Sherbrooke,,QC,,"55, rue Glendon, Sherbrooke, QC J1H 1V4",,Banque alimentaire pour l'Estrie. Source : moissonestrie.com.,,,
baq-moisson-estrie,alimentation,Moisson Estrie,https://moissonestrie.com,,819-823-7423,,Sherbrooke,,QC,,"1255, rue Daniel, Sherbrooke, QC J1H 5X3",,Réseau d'aide alimentaire de l'Estrie. Source: moissonestrie.com.,,,
baq-moisson-haut-st-francois,alimentation,Moisson Haut-Saint-François,https://moissonhsf.com,,(819) 451-2781,,East Angus,,QC,,"275, rue Saint-Jean Ouest, East Angus, QC J0B 1R0",,Aide alimentaire pour le Haut-Saint-François. Source: moissonhsf.com.,,,
baq-moisson-kamouraska,alimentation,Moisson Kamouraska,https://moissonkamouraska.org,,418-856-3325,,La Pocatière,,QC,,"608, 4e Avenue Painchaud, La Pocatière, QC G0R 1Z0",,Aide alimentaire pour la région du Kamouraska. Source: moissonkamouraska.org.,,,
baq-moisson-lanaudiere,alimentation,Moisson Lanaudière,https://moissonlanaudiere.org,,450-654-1414,,L'Assomption,,QC,,"270, boul. de l'Ange-Gardien Nord, L'Assomption, QC J5W 1R7",,Réseau d'aide alimentaire de Lanaudière. Source: moissonlanaudiere.org.,,,
baq-moisson-laurentides,alimentation,Moisson Laurentides,https://moissonlaurentides.org,,450-478-7333,,Sainte-Anne-des-Plaines,,QC,,"400, boul. Industriel, Sainte-Anne-des-Plaines, QC J5N 0G1",,Réseau d'aide alimentaire des Laurentides. Source: moissonlaurentides.org.,,,
qc-ali-moisson-laval,alimentation,Moisson Laval,https://www.moissonlaval.com,,450-686-1878,,Laval,,QC,,"2580, boul. Industriel, Laval, QC H7L 4S3",,Banque alimentaire desservant Laval. Source : moissonlaval.com.,,,
qc-ali-moisson-mauricie,alimentation,Moisson Mauricie / Centre-du-Québec,https://moissonmcdq.org,,819-371-7778,,Trois-Rivières,,QC,,"885, boul. Industriel, Trois-Rivières, QC G8T 8R9",,Aide alimentaire en Mauricie et Centre-du-Québec. Source : moissonmcdq.org.,,,
qc-ali-moisson-mtl,alimentation,Moisson Montréal,https://www.moissonmontreal.org,,514-344-4494,,Montréal,,QC,,"6880, ch. de la Côte-de-Liesse, Saint-Laurent, QC H4T 2A1",,Plus grande banque alimentaire au Canada. Distribue à 250+ organismes accrédités à Montréal. Source : moissonmontreal.org.,,,
baq-moisson-montreal,alimentation,Moisson Montréal,https://moissonmontreal.org,,514-344-4494,,Montréal,,QC,,"6880, ch. de la Côte-de-Liesse, Saint-Laurent, QC H4T 2A1",,Plus grande banque alimentaire au Canada. Approvisionne 250+ organismes communautaires de Montréal. Source: moissonmontreal.org.,,,
qc-ali-moisson-outaouais,alimentation,Moisson Outaouais,https://www.moissonoutaouais.com,,819-776-1701,,Gatineau,,QC,,"39, rue Saint-Antoine, Gatineau, QC J8Y 4S1",,Aide alimentaire en Outaouais. Source : moissonoutaouais.com.,,,
baq-moisson-outaouais,alimentation,Moisson Outaouais,https://moissonoutaouais.com,,819-669-2000,,Gatineau,,QC,,"37 rue Bombardier, Gatineau, QC J8R 0G4",,Réseau d'aide alimentaire de l'Outaouais. Source: moissonoutaouais.com.,,,
qc-ali-moisson-quebec,alimentation,Moisson Québec,https://www.moissonquebec.com,,418-682-5061,,Québec,,QC,,"1450, rue Provinciale, Québec, QC G1N 4H4",,Banque alimentaire pour la région de Québec et Chaudière-Appalaches. 165+ organismes accrédités. Source : moissonquebec.com.,,,
baq-moisson-quebec,alimentation,Moisson Québec,https://moissonquebec.com,,418-682-5061,,Québec,,QC,,"915, rue Saint-Vallier Ouest, Québec, QC G1N 1Z2",,Réseau d'aide alimentaire de la Capitale-Nationale. Source: moissonquebec.com.,,,
qc-ali-moisson-rive-sud,alimentation,Moisson Rive-Sud,https://moissonrivesud.org,,450-462-2722,,Brossard,,QC,,"8520, boul. Marie-Victorin, Brossard, QC J4X 1A1",,Aide alimentaire en Montérégie-Est. Source : moissonrivesud.org.,,,
baq-moisson-rive-sud,alimentation,Moisson Rive-Sud,https://moissonrivesud.org,,450-462-9982,,Saint-Hubert,,QC,,"5500, rue Rideau, Saint-Hubert, QC J3Y 5K6",,Réseau d'aide alimentaire de la Rive-Sud de Montréal. Source: moissonrivesud.org.,,,
on-ottawa-food,alimentation,Ottawa Food Bank,https://ottawafoodbank.ca,,613-745-7001,,Ottawa,,ON,,"1317 Bank St, Ottawa, ON K1S 3Y3",,,,,
popotes-roulantes-qc,alimentation,Popotes Roulantes du Québec (PRASAB),https://popotes.org,,1-877-953-2363,,Québec,,QC,,"150, René-Lévesque Est, Québec, QC G1R 2B2",,Réseau provincial des popotes roulantes : repas livrés à domicile aux aînés et personnes en perte d'autonomie. Source: popotes.org.,,,
sk-foodbank-regina,alimentation,Regina Food Bank,https://www.reginafoodbank.ca,,306-527-0000,,Regina,,SK,,"1440 Scarth St, Regina, SK S4R 2E9",,,,,
qc-ali-rccq-mtl,alimentation,Regroupement des cuisines collectives du Grand Montréal (RCCGM),https://rccgm.org,,514-529-2900,,Montréal,,QC,,"1605, boul. de Maisonneuve Est, Montréal, QC H2L 1Y8",,Soutien aux cuisines collectives sur l'île de Montréal. Source : rccgm.org.,,,
rccq-qc,alimentation,Regroupement des cuisines collectives du Québec (RCCQ),https://rccq.org,,514-529-3448,,Montréal,,QC,,"1605, rue de Champlain, Montréal, QC H2L 2S5",,Réseau provincial des cuisines collectives. Annuaire de 1 400+ groupes. Source: rccq.org.,,,
resto-plateau-mtl,alimentation,Resto Plateau,https://restoplateau.com,,514-527-5997,,Montréal,,QC,,"4450, rue Saint-Hubert, Montréal, QC H2J 2X1",,Repas à prix abordable et insertion socioprofessionnelle. Source: restoplateau.com.,,,
sk-foodbank-saskatoon,alimentation,Saskatoon Food Bank,https://www.saskatoonfoodbank.org,,306-664-6565,,Saskatoon,,SK,,"202 Avenue C S, Saskatoon, SK S7M 1N3",,,,,
bc-foodbank-surrey,alimentation,Surrey Food Bank,https://www.surreyfoodbank.org,,604-584-8813,,Surrey,,BC,,"10665, 135A St, Surrey, BC V3T 4E6",,,,,
yt-foodbank-yt,alimentation,Whitehorse Food Bank,https://www.whitehorsefoodbank.ca,,867-456-4567,,Whitehorse,,YT,,"4165 4 Ave, Whitehorse, YT Y1A 6A2",,,,,
mb-winnipeg-harvest,alimentation,Winnipeg Harvest Food Bank,https://winnipegharvest.org,,204-982-3670,,Winnipeg,,MB,,"1085 Winnipeg Ave, Winnipeg, MB R3E 0S2",,,,,
nt-foodbank-nt,alimentation,Yellowknife Food Bank,https://www.facebook.com/YKFoodBank/,,867-873-4504,,Yellowknife,,NT,,"4908 Franklin Ave, Yellowknife, NT X1A 2N3",,,,,
emp-axtra,emploi,AXTRA – Alliance des centres-conseils en emploi,https://axtra.ca,,514-721-3051,,Montréal,,QC,,"533, rue Ontario Est, bureau 202, Montréal, QC H2L 1N8",,"Réseau provincial de centres-conseils en emploi : aide à la rédaction de CV, préparation aux entrevues, recherche d'emploi. Courriel : info@axtra.ca. Source: axtra.ca.",,,
qc-emp-cje-vallee-or,emploi,Carrefour jeunesse-emploi Abitibi-Est,https://cje-abitibiest.com,,819-825-0299,,Val-d'Or,,QC,,"858, 3e Avenue, Val-d'Or, QC J9P 1T2",,Services pour les 16-35 ans en Abitibi-Est (MRC Vallée-de-l'Or). Source : cje-abitibiest.com.,,,
qc-emp-cje-bellechasse,emploi,Carrefour jeunesse-emploi Bellechasse-Etchemins,https://cje-be.qc.ca,,418-883-1587,,Saint-Lazare-de-Bellechasse,,QC,,"121, rue Mgr-Bilodeau, Saint-Lazare-de-Bellechasse, QC G0R 3J0",,Services emploi/études pour 16-35 ans en Bellechasse et Etchemins. Source : cje-be.qc.ca.,,,
qc-emp-cje-charlevoix,emploi,Carrefour jeunesse-emploi Charlevoix,https://cje-charlevoix.com,,418-665-2787,,La Malbaie,,QC,,"30, ch. de la Vallée, La Malbaie, QC G5A 1A8",,Services emploi/études pour 16-35 ans à Charlevoix. Source : cje-charlevoix.com.,,,
qc-emp-cje-cdq,emploi,Carrefour jeunesse-emploi Comté de Johnson,https://cje-johnson.qc.ca,,450-378-0606,,Granby,,QC,,"175, rue Saint-Antoine Sud, Granby, QC J2G 8C5",,Services pour 16-35 ans à Granby et la Haute-Yamaska. Source : cje-johnson.qc.ca.,,,
qc-emp-cje-cdn,emploi,Carrefour jeunesse-emploi Côte-des-Neiges,https://cje-cdn.qc.ca,,514-342-5678,,Montréal,,QC,,"6555, ch. de la Côte-des-Neiges, bureau 350, Montréal, QC H3S 2A6",,Aide à l'emploi et au retour aux études pour 16-35 ans à Côte-des-Neiges. Source : cje-cdn.qc.ca.,,,
qc-emp-cje-lassomption,emploi,Carrefour jeunesse-emploi de L'Assomption,https://cjelassomption.com,,450-654-6601,,Repentigny,,QC,,"159, rue Notre-Dame, bureau 220, Repentigny, QC J6A 2R3",,Aide à l'emploi pour 16-35 ans dans la MRC L'Assomption. Source : cjelassomption.com.,,,
qc-emp-cje-pointe-ile,emploi,Carrefour jeunesse-emploi de la Pointe-de-l'Île,https://cje-pi.qc.ca,,514-642-6090,,Montréal,,QC,,"13836, rue Notre-Dame Est, Montréal, QC H1A 1T7",,"Services emploi/études pour 16-35 ans dans Pointe-aux-Trembles, Rivière-des-Prairies et Montréal-Est. Source : cje-pi.qc.ca.",,,
emp-cje-shawinigan,emploi,Carrefour Jeunesse-Emploi de Shawinigan,https://cjeshawinigan.org,,819-537-3358,,Shawinigan,,QC,,"432, avenue Willow, C.P. 132, Shawinigan, QC G9N 1X2",,Aide à l'emploi pour 16-35 ans à Shawinigan. Courriel : info@cjeshawinigan.org. Source: cjeshawinigan.org.,,,
emp-cje-sherbrooke,emploi,Carrefour jeunesse-emploi de Sherbrooke,https://cje-sherbrooke.qc.ca,,819-823-7508,,Sherbrooke,,QC,,"187, rue Belvédère Sud, Sherbrooke, QC J1H 4B6",,Soutien à l'emploi pour 16-35 ans à Sherbrooke. Source: cje-sherbrooke.qc.ca.,,,
qc-emp-cje-domaine-roy,emploi,Carrefour jeunesse-emploi Domaine-du-Roy,https://cje-domaineduroy.ca,,418-275-8324,,Roberval,,QC,,"755, boul. Saint-Joseph, Roberval, QC G8H 2L4",,Aide à l'emploi pour 16-35 ans dans la MRC Domaine-du-Roy. Source : cje-domaineduroy.ca.,,,
emp-cje-drummondville,emploi,Carrefour Jeunesse-Emploi Drummond,https://www.cjedrummond.qc.ca,,819-475-4646,,Drummondville,,QC,,"150, rue Marchand, bureau 260, Drummondville, QC J2C 4N1",,Aide à l'emploi et au retour aux études pour 16-35 ans dans Drummond. Courriel : info@cjedrummond.qc.ca. Source: cjedrummond.qc.ca.,,,
emp-cje-hochelaga,emploi,Carrefour jeunesse-emploi Hochelaga-Maisonneuve,https://cjehm.org,,514-251-0832,,Montréal,,QC,,"4068, rue Sainte-Catherine Est, Montréal, QC H1V 1Y1",,Soutien à l'emploi pour 16-35 ans à Hochelaga-Maisonneuve. Source: cjehm.org.,,,
qc-emp-cje-roussillon,emploi,Carrefour jeunesse-emploi La Prairie - Roussillon,https://cjeroussillon.qc.ca,,450-444-7820,,La Prairie,,QC,,"85, ch. de Saint-Jean, bureau 200, La Prairie, QC J5R 2J7",,Services pour les 16-35 ans dans la MRC Roussillon. Source : cjeroussillon.qc.ca.,,,
qc-emp-cje-levis,emploi,Carrefour jeunesse-emploi Lévis,https://cje-levis.qc.ca,,418-833-8800,,Lévis,,QC,,"5500, boul. Étienne-Dallaire, bureau 220, Lévis, QC G6V 8V6",,Aide à l'employabilité pour 16-35 ans à Lévis. Source : cje-levis.qc.ca.,,,
qc-emp-cje-baie-comeau,emploi,Carrefour jeunesse-emploi Manicouagan,https://cjemanicouagan.com,,418-589-9925,,Baie-Comeau,,QC,,"639, rue de Bretagne, Baie-Comeau, QC G5C 1X2",,Services pour les 16-35 ans en Manicouagan. Source : cjemanicouagan.com.,,,
emp-cje-longueuil,emploi,Carrefour jeunesse-emploi Marguerite-d'Youville,https://cjemy.com,,450-922-1717,,Sainte-Julie,,QC,,"350, boul. Saint-Joseph, Sainte-Julie, QC J3E 1W6",,Services emploi/études pour 16-35 ans à Marguerite-d'Youville. Source: cjemy.com.,,,
qc-emp-cje-coaticook,emploi,Carrefour jeunesse-emploi MRC Coaticook,https://cje-coaticook.qc.ca,,819-849-7011,,Coaticook,,QC,,"60, rue Wellington, Coaticook, QC J1A 2A8",,Services pour les 16-35 ans dans la MRC Coaticook. Source : cje-coaticook.qc.ca.,,,
qc-emp-cje-joliette,emploi,Carrefour jeunesse-emploi MRC Joliette,https://cjejoliette.org,,450-755-2226,,Joliette,,QC,,"266, rue Saint-Pierre Sud, Joliette, QC J6E 5Y2",,Services pour les 16-35 ans dans la MRC Joliette (Lanaudière). Source : cjejoliette.org.,,,
qc-emp-cje-ndg,emploi,Carrefour jeunesse-emploi NDG,https://cje-ndg.com,,514-482-6665,,Montréal,,QC,,"5165, rue Sherbrooke Ouest, bureau 100, Montréal, QC H4A 1T6",,Services emploi/études pour 16-35 ans à Notre-Dame-de-Grâce. Source : cje-ndg.com.,,,
emp-cje-gatineau,emploi,Carrefour jeunesse-emploi Outaouais,https://cjeo.qc.ca,,819-771-4391,,Gatineau,,QC,,"92, boul. Saint-Raymond, Gatineau, QC J8Y 1S7",,Services pour les 16-35 ans en Outaouais. Source: cjeo.qc.ca.,,,
qc-emp-cje-pierre-de-saurel,emploi,Carrefour jeunesse-emploi Pierre-De Saurel,https://cje-pierredesaurel.com,,450-743-0345,,Sorel-Tracy,,QC,,"26, place Charles-de-Montmagny, Sorel-Tracy, QC J3P 7E3",,Services emploi/études pour 16-35 ans dans la MRC Pierre-De Saurel. Source : cje-pierredesaurel.com.,,,
qc-emp-cje-rouyn,emploi,Carrefour jeunesse-emploi Rouyn-Noranda,https://cje-rouyn.qc.ca,,819-797-1212,,Rouyn-Noranda,,QC,,"169, av. du Lac, Rouyn-Noranda, QC J9X 4N5",,Aide à l'emploi pour 16-35 ans à Rouyn-Noranda. Source : cje-rouyn.qc.ca.,,,
emp-cje-trois-rivieres,emploi,Carrefour Jeunesse-Emploi Trois-Rivières / Des Chenaux,https://cjetrdc.com/,,819 376-0179,,Trois-Rivières,,QC,,"580, rue Barkoff, suite 300, Trois-Rivières, QC G8T 9T7",,"Services emploi/études pour 16-35 ans à Trois-Rivières et MRC Des Chenaux. Source: cjetrdc.com.

Lundi 8:30 – 16:30
Mardi 8:30 – 16:30
Mercredi 8:30 – 16:30
Jeudi 8:30 – 16:30
Vendredi 8:30 – 16:00",,,
qc-emp-cje-vaudreuil,emploi,Carrefour jeunesse-emploi Vaudreuil-Soulanges,https://cjevs.org,,450-455-3185,,Vaudreuil-Dorion,,QC,,"455, av. Saint-Charles, bureau 130, Vaudreuil-Dorion, QC J7V 8P5",,Services emploi/études pour 16-35 ans dans Vaudreuil-Soulanges. Source : cjevs.org.,,,
qc-emp-cje-verdun,emploi,Carrefour jeunesse-emploi Verdun-Sud-Ouest,https://cjevso.org,,514-768-1597,,Montréal,,QC,,"4751, rue Wellington, Verdun, QC H4G 1X3",,Aide à l'emploi pour 16-35 ans à Verdun et Sud-Ouest. Source : cjevso.org.,,,
on-integration-toronto,emploi,Centre for Immigrant and Community Services Toronto,https://www.cicscanada.com,,416-644-3765,,Toronto,,ON,,"1280 Finch Ave W, Toronto, ON M3J 3K6",,,,,
emp-cle-trois-rivieres,emploi,Centre local d'emploi (CLE) Trois-Rivières,https://www.quebec.ca/emploi/trouver-emploi-stage/consulter-offres-emplois#c219664,,819-371-6880,,Trois-Rivières,,QC,,"3855, boul. des Forges, Trois-Rivières, QC G8Y 4Y8",,"Centre local d'emploi de Trois-Rivières : aide à la recherche d'emploi, programmes de formation, aide financière de dernier recours. Voir aussi : cremauricie.com pour services connexes en Mauricie. Source: quebec.ca.",,,
bc-employ-bc,emploi,CJE jeunesse emploi BC,https://www.workbc.ca/plan-career/resources/youth,,604-688-1014,,Vancouver,,BC,,"815, W. Hastings St, Vancouver, BC V6C 1B4",,,,,
emp-cremauricie-louiseville,emploi,Coopérative de remplacement de la Mauricie – MRC de Maskinongé,https://cremauricie.com,,819-370-3660,,Louiseville,,QC,,"760, boulevard Saint-Laurent Est, Louiseville, QC J5V 1H9",,Agence de placement en Mauricie (MRC Maskinongé). Sans frais : 1 844 870-3660. Source: cremauricie.com.,,,
emp-cremauricie-mekinac,emploi,Coopérative de remplacement de la Mauricie – MRC de Mékinac,https://cremauricie.com,,819-537-0354,,Sainte-Thècle,,QC,,"301, rue Saint-Jacques, local 218-B, Sainte-Thècle, QC G0X 3G0",,Agence de placement en Mauricie (MRC Mékinac). Sans frais : 1 877 536-0354. Source: cremauricie.com.,,,
emp-cremauricie-chenaux,emploi,Coopérative de remplacement de la Mauricie – MRC des Chenaux,https://cremauricie.com,,819-370-3660,,Sainte-Geneviève-de-Batiscan,,QC,,"44, chemin de la Rivière-à-Veillet, Sainte-Geneviève-de-Batiscan, QC G0X 2R0",,Agence de placement en Mauricie (MRC des Chenaux). Sans frais : 1 844 870-3660. Source: cremauricie.com.,,,
emp-cremauricie-shawinigan,emploi,Coopérative de remplacement de la Mauricie – Shawinigan,https://cremauricie.com,,819-537-0354,,Shawinigan,,QC,,"500, avenue Broadway, local 250, Shawinigan, QC G9N 1M3",,Agence de placement en Mauricie (Shawinigan). Sans frais : 1 877 536-0354. Source: cremauricie.com.,,,
emp-cremauricie-tr,emploi,Coopérative de remplacement de la Mauricie – Trois-Rivières,https://cremauricie.com,,819-370-3660,,Trois-Rivières,,QC,,"3910, boulevard des Forges, bureau 203, Trois-Rivières, QC G8Y 1V7",,Agence de placement en Mauricie (Trois-Rivières). Sans frais : 1 844 870-3660. Source: cremauricie.com.,,,
emp-emploi-quebec,emploi,Emploi-Québec,https://www.emploiquebec.gouv.qc.ca,,1-888-643-4721,,Province,,QC,,N/A — service téléphonique/en ligne,,"Service public d'emploi : Placement en ligne, IMT en ligne, programmes de formation et d'employabilité. Source: emploiquebec.gouv.qc.ca.",,,
emp-programme-aide-emploi,emploi,Programme d'aide à l'emploi – Services Québec (Renseignements généraux),https://www.quebec.ca/emploi,,1-877-644-4545,,Province,,QC,,N/A — service téléphonique/en ligne,,"Renseignements généraux du gouvernement du Québec : programmes de formation, marché du travail, aide à l'emploi. Lun-Ven 8h-18h. Régions : Montréal 514-644-4545 · Québec 418-644-4545 · Rive-Sud/Laval 450-644-4545 · Mauricie/Outaouais 819-644-4545 · Sans frais 1-877-644-4545. Source: quebec.ca.",,,
emp-equitas-mtl,emploi,Promotion Intégration Société Nouvelle (PROMIS) – volet emploi,https://promis.qc.ca,,514-345-1615,,Montréal,,QC,,"3333, ch. de la Côte-Sainte-Catherine, bureau 201, Montréal, QC H3T 1C8",,Insertion professionnelle des personnes immigrantes. Source: promis.qc.ca.,,,
emp-rseo,emploi,Réseau des SADC et CAE du Québec,https://sadc-cae.ca,,418-687-1354,,Province,,QC,,"1170, boul. Lebourgneuf, bureau 110, Québec, QC G2K 2E3",,57 SADC et 10 CAE soutiennent l'entrepreneuriat et la création d'emplois en région. Source: sadc-cae.ca.,,,
emp-semo-mtl,emploi,SEMO – Action main-d'œuvre,https://actionmaindoeuvre.ca,,514-721-4941,,Montréal,,QC,,"55, av. du Mont-Royal Ouest, bureau 800, Montréal, QC H2T 2S6",,"Services spécialisés en employabilité pour personnes avec contraintes (handicap, santé mentale). Source: actionmaindoeuvre.ca.",,,
emp-services-quebec-centre,emploi,Services Québec – Centre de services,https://www.quebec.ca/services-quebec,,1-877-644-4545,,Province,,QC,,N/A — service téléphonique/en ligne,,"Centres de services Services Québec : information gouvernementale, programmes, démarches. Lun-Ven 8h-18h. Régions : Montréal 514-644-4545 · Québec 418-644-4545 · Rive-Sud/Laval 450-644-4545 · Mauricie/Outaouais 819-644-4545 · Sans frais 1-877-644-4545. Source: quebec.ca.",,,
emp-sier3r,emploi,SIER 3R – Service d'insertion en emploi par recyclage,https://sier3r.com,,819-693-6777,,Trois-Rivières,,QC,,"1453, rue Radisson, Trois-Rivières, QC G9A 2G4",,Organisme d'insertion socioprofessionnelle. Programmes d'insertion en emploi via le recyclage et la récupération à Trois-Rivières. Source: sier3r.com.,,,
emp-sit-mauricie-louiseville,emploi,SIT Mauricie – Service d'intégration au travail (Louiseville),https://www.sitmauricie.com,,819-228-5832,,Louiseville,,QC,,"44, rue Saint-François-Xavier, Louiseville, QC J5V 2B7",,Service d'intégration au travail pour personnes ayant des contraintes à l'emploi. Bureau Louiseville. Source: sitmauricie.com.,,,
